#SN,zhel,tmax(B),+/-_x,ref.,Dm15,+/-.1_x,ref..1,M_B,+/-.2_x,B-V,+/-.3_x,Bm-Vm,+/-.4_x,Phot.,ref..2,n_spec,RA,DEC,z_CMB,+/-_y,m_B,+/-.1_y,x_1,+/-.2_y,c,+/-.3_y,mu,+/-.4_y
2002es,0.018,52518.3,0.3,BSNIP,9.99,9.99,,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3,,6.0,50.94679166666666,40.564861111111114,0.018000000000000002,0.001,16.573,0.04,-1.844,0.264,0.408,0.027999999999999997,34.815,0.24
2002eu,0.0376,52519.3,0.2,"B,M",1.52,0.08,B,-19.17,0.1,-0.17,0.07,-0.08,0.05,"CfA3,Gan10",,7.0,27.431666666666665,32.62861111111111,,,,,,,,,,
2002fb,0.0156,52529.1,1.3,"B,M",1.77,0.11,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,"CfA3,Gan10",,7.0,29.45375,36.34063888888889,,,,,,,,,,
2002fk,0.0075,52547.9,0.4,"B,M,SA,SN",1.13,0.03,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,"CfA3,Gan10",,24.0,50.52379166666666,-15.400888888888892,,,,,,,,,,
2002ha,0.0144,52580.4,0.6,"B,M,SA,SN",1.22,0.04,B,-19.24,0.07,-0.15,0.04,-0.12,0.05,CfA3,,6.0,311.82741666666664,0.31266666666666665,0.013000000000000001,0.001,14.671,0.02,-1.7309999999999999,0.248,-0.028999999999999998,0.018000000000000002,34.006,0.266
2002hd,0.035,52575.1,0.5,"B,SA",1.16,0.11,B,-19.39,0.1,-0.07,0.06,-0.01,0.06,CfA3,,3.0,133.51954166666664,-7.183277777777778,0.036000000000000004,0.001,16.709,0.016,-0.7759999999999999,0.439,0.092,0.015,35.843,0.187
2002he,0.0246,52585.8,0.2,"B,M,SA,SN",1.44,0.06,B,-19.08,0.09,-0.08,0.06,-0.07,0.07,"CfA3,Gan10",,5.0,124.995125,62.82033333333334,0.025,0.001,16.230999999999998,0.039,-2.1180000000000003,0.268,0.012,0.026000000000000002,35.424,0.21
2002hu,0.0374,52592.0,0.1,"B,M,SA,SN",1.05,0.03,B,-19.59,0.06,-0.14,0.03,-0.13,0.04,CfA3,,5.0,34.58358333333333,37.466333333333345,0.038,0.001,16.582,0.011000000000000001,0.096,0.134,-0.052000000000000005,0.01,36.163000000000004,0.177
2002hw,0.0175,52595.4,0.1,"B,M,SN",1.44,0.08,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3,,5.0,1.7044166666666667,8.63013888888889,0.016,0.001,16.680999999999997,0.031,-2.245,0.255,0.531,0.026000000000000002,34.574,0.245
2002jg,0.0157,52609.6,0.1,"B,M,SA,SN",1.42,0.07,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,Gan10,,4.0,334.86999999999995,29.38458333333333,,,,,,,,,,
2002jy,0.0196,52634.0,0.4,"B,M,SA,SN",0.88,0.06,B,-19.58,0.08,-0.15,0.05,-0.14,0.05,CfA3,,11.0,20.317791666666672,40.49869444444445,0.02,0.001,15.69,0.013000000000000001,0.8190000000000001,0.16699999999999998,0.011000000000000001,0.013000000000000001,35.19,0.214
2002kf,0.0193,52638.2,0.1,"B,M,SA,SN",1.2,0.07,B,-19.3,0.08,-0.13,0.06,-0.13,0.05,CfA3,,11.0,99.31379166666666,49.852833333333336,0.019,0.001,15.651,0.027000000000000003,-1.37,0.16399999999999998,0.023,0.018000000000000002,34.893,0.22
2003U,0.0281,52677.3,0.1,"B,M,SA,SN",1.46,0.1,B,-19.12,0.1,-0.07,0.06,-0.05,0.06,CfA3,,3.0,260.69024999999993,62.163999999999994,0.027999999999999997,0.001,16.457,0.043,-2.613,0.542,0.03,0.033,35.553000000000004,0.217
2003W,0.0201,52679.7,0.0,"B,M,SA,SN",1.14,0.04,B,-19.31,0.09,-0.01,0.04,0.03,0.05,CfA3,,17.0,146.70616666666666,16.04377777777778,0.021,0.001,15.853,0.01,-0.275,0.095,0.19,0.01,34.796,0.209
2003Y,0.0169,52676.7,0.2,"B,M",1.65,0.08,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,Gan10,,3.0,133.64416666666665,57.17216666666666,,,,,,,,,,
2003cg,0.0041,52729.4,0.4,"B,SA,SN",1.26,0.05,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,"CfA3,Gan10",,18.0,153.5665416666666,3.467361111111112,,,,,,,,,,
2003ch,0.025,52725.3,0.8,"M,SA,SN",1.22,0.07,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3,,13.0,109.49133333333332,9.693027777777775,0.03,0.001,16.654,0.017,-1.63,0.213,0.019,0.017,35.879,0.192
2003cq,0.0333,52738.2,0.9,"B,M,SA,SN",1.2,0.06,B,-19.34,0.09,-0.15,0.05,-0.11,0.06,"CfA3,Gan10",,8.0,179.05904166666664,60.521972222222225,0.034,0.001,17.208,0.047,-0.985,0.239,0.22699999999999998,0.040999999999999995,35.985,0.213
2003du,0.0064,52766.1,1.0,"B,M,SA,SN",1.07,0.06,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,"CfA3,Jha07",,23.0,218.64916666666664,59.334388888888896,,,,,,,,,,
2003fa,0.0404,52806.2,0.5,"B,M,SA,SN",0.8,0.05,B,-19.65,0.07,-0.11,0.05,-0.09,0.05,CfA3,,20.0,266.0321666666666,40.881,0.039,0.001,16.642,0.016,1.128,0.134,-0.005,0.013000000000000001,36.215,0.17800000000000002
2003gn,0.0346,52852.5,0.2,"B,M,SA,SN",1.22,0.04,B,-19.21,0.08,-0.18,0.05,-0.17,0.05,Gan10,,1.0,338.4653333333333,20.80236111111111,,,,,,,,,,
2003gq,0.0214,52847.9,0.6,Gan10,1.69,0.19,Gan10,-99.99,9.99,-9.99,9.99,-9.99,9.99,Gan10,,1.0,343.33616666666666,32.132666666666665,,,,,,,,,,
2003hu,0.075,52901.1,2.1,"M,SA,SN",9.99,9.99,,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3,,6.0,287.88083333333327,77.89311111111111,0.075,0.001,18.403,0.10300000000000001,0.872,0.42,0.166,0.036000000000000004,37.525,0.217
2003ic,0.0553,52905.8,1.5,"M,SA",9.99,9.99,,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3,,8.0,10.459291666666664,-9.305277777777778,0.054000000000000006,0.001,17.63,0.026000000000000002,-2.497,0.319,0.018000000000000002,0.027000000000000003,36.769,0.184
2003it,0.0251,52934.5,0.2,"B,M,SA,SN",1.36,0.09,B,-19.17,0.1,-0.08,0.05,-0.06,0.05,CfA3,,15.0,1.4519583333333332,27.452666666666666,0.024,0.001,16.334,0.025,-1.7380000000000002,0.341,0.086,0.027000000000000003,35.383,0.212
2003iv,0.0343,52933.9,0.4,"M,SA",1.65,0.07,Pri09,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3,,8.0,42.53020833333333,12.84625,0.034,0.001,16.956,0.024,-2.4219999999999997,0.46799999999999997,-0.024,0.025,36.204,0.198
2003kc,0.0334,52977.4,2.9,"M,SA",9.99,9.99,,-99.99,9.99,-9.99,9.99,-9.99,9.99,"CfA3,Gan10",,7.0,146.643,30.655277777777773,,,,,,,,,,
2003kf,0.0074,52980.8,0.4,"B,M,SA,SN",1.1,0.05,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,"CfA3,Gan10",,26.0,91.14758333333332,-12.628555555555556,,,,,,,,,,
2004L,0.0323,53028.9,0.3,"B,M,SA,SN",1.12,0.07,B,-19.29,0.09,-0.08,0.06,-0.06,0.06,CfA3,,13.0,156.767125,16.018694444444446,0.033,0.001,17.377,0.034,-1.147,0.306,0.285,0.025,35.993,0.196
2004as,0.031,53085.4,0.6,"B,M,SA,SN",0.92,0.08,B,-19.47,0.09,-0.14,0.05,-0.14,0.05,CfA3,,18.0,171.41324999999995,22.830388888888887,0.032,0.001,16.948,0.015,-0.13699999999999998,0.166,0.134,0.015,36.044000000000004,0.18600000000000003
2004at,0.0223,53092.0,0.8,"B,M,SA,SN",1.05,0.03,B,-19.49,0.06,-0.16,0.03,-0.17,0.05,Gan10,,11.0,164.68824999999995,59.48666666666666,,,,,,,,,,
2004bg,0.0208,53109.5,0.5,"B,M,SA",1.05,0.09,B,-19.46,0.08,-0.07,0.06,-0.05,0.07,CfA3,,5.0,170.25637499999996,21.339833333333328,0.022000000000000002,0.001,15.527999999999999,0.05,0.40299999999999997,0.172,-0.001,0.026000000000000002,35.015,0.22
2004bk,0.023,53112.8,0.3,"B,SA",1.02,0.07,B,-19.51,0.08,-0.1,0.05,-0.09,0.09,Gan10,,1.0,204.36966666666663,4.103138888888888,,,,,,,,,,
2004ef,0.031,53263.7,0.2,"B,M,SA,SN",1.39,0.04,B,-19.19,0.08,-0.09,0.04,-0.06,0.05,"CfA3,Gan10",,15.0,340.54388749999987,19.996941666666668,,,,,,,,,,
2004fu,0.0092,53325.6,0.2,"M,SA,SN",1.08,0.07,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3,,9.0,308.7980833333333,64.80713888888889,,,,,,,,,,
2004fz,0.0173,53333.3,0.3,"B,M,SA,SN",1.36,0.05,B,-19.29,0.08,-0.12,0.05,-0.14,0.05,Gan10,,1.0,30.276708333333332,31.87894444444445,,,,,,,,,,
2004gs,0.0266,53355.8,0.1,"B,SA",1.41,0.11,B,-19.25,0.16,-0.21,0.06,-0.08,0.05,Gan10,,10.0,129.59937916666664,17.631347222222217,,,,,,,,,,
2005A,0.0191,53379.5,0.2,Bur11,1.11,0.05,Bur11,-99.99,9.99,-9.99,9.99,-9.99,9.99,Con10,,4.0,37.68020833333333,-2.9388333333333336,,,,,,,,,,
2005M,0.022,53405.1,1.4,"B,M,SA,SN",0.87,0.06,B,-19.74,0.08,-0.25,0.05,-0.15,0.04,"CfA3,Gan10",,10.0,144.38649999999996,23.202777777777772,,,,,,,,,,
2005am,0.0084,53435.3,0.5,"B,M,SA,SN",1.3,0.05,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,"CfA3,Gan10",,19.0,139.05195833333335,-16.304444444444446,,,,,,,,,,
2005bc,0.0121,53469.5,0.4,"B,M,SA,SN",1.32,0.05,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,Gan10,,2.0,219.3115833333333,38.454083333333344,,,,,,,,,,
2005bl,0.024,53482.1,0.3,Tau08,1.93,0.1,Tau08,-99.99,9.99,-9.99,9.99,-9.99,9.99,Tau08,,1.0,181.051,20.406833333333328,,,,,,,,,,
2005bo,0.0137,53478.3,0.7,"B,M,SA,SN",1.28,0.03,B,-19.28,0.07,-0.12,0.04,-0.13,0.06,Gan10,,2.0,192.42095833333332,-11.0965,,,,,,,,,,
2005cc,0.0075,53518.6,0.5,B,1.94,0.06,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,Gan10,,12.0,209.27066666666664,41.8465,,,,,,,,,,
2005cf,0.0065,53533.7,0.2,"B,M,SA,SN",1.1,0.03,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3,,27.0,230.388,-7.449194444444445,,,,,,,,,,
2005el,0.0148,53646.4,0.2,"B,M,SA,SN",1.27,0.05,B,-19.18,0.06,-0.08,0.04,-0.06,0.05,CfA3,,8.0,77.95316666666666,5.194166666666667,0.015,0.001,14.804,0.013000000000000001,-1.7469999999999999,0.077,-0.065,0.013000000000000001,34.225,0.248
2005eq,0.029,53654.0,0.4,"B,M,SA,SN",0.88,0.05,B,-19.63,0.07,-0.11,0.05,-0.1,0.05,CfA3,,12.0,47.20545833333333,-7.03325,0.027999999999999997,0.001,16.223,0.012,0.82,0.09300000000000001,0.034,0.01,35.668,0.18899999999999997
2005eu,0.0349,53659.7,0.0,"B,M,SA,SN",0.89,0.06,B,-19.66,0.08,-0.09,0.06,-0.06,0.06,CfA3,,7.0,36.930416666666666,28.17716666666667,0.034,0.001,16.361,0.024,0.6859999999999999,0.122,-0.064,0.021,36.034,0.188
2005hc,0.0459,53667.7,0.4,"B,M,SA,SN",1.03,0.04,B,-19.57,0.08,-0.17,0.04,-0.16,0.04,CfA3,,3.0,29.1999,-0.2135055555555556,0.045,0.001,17.311,0.01,-0.022000000000000002,0.14,0.008,0.009000000000000001,36.731,0.17300000000000001
2005hk,0.013,53684.6,0.5,Phi07,1.56,0.09,Phi07,-99.99,9.99,-9.99,9.99,-9.99,9.99,"CfA3,Phi07",,13.0,6.962041666666666,-1.1981388888888889,,,,,,,,,,
2005iq,0.034,53687.4,0.3,"B,M,SA,SN",1.19,0.06,B,-19.32,0.08,-0.15,0.04,-0.13,0.04,CfA3,,1.0,359.63541666666663,-18.709166666666665,0.033,0.001,16.787,0.015,-1.556,0.187,-0.040999999999999995,0.013999999999999999,36.169000000000004,0.185
2005kc,0.0151,53697.3,0.2,"B,M,SN",1.24,0.04,B,-19.39,0.08,-0.14,0.05,-0.07,0.05,CfA3,,6.0,338.5305833333333,5.568416666666668,0.013999999999999999,0.001,15.616,0.012,-0.747,0.1,0.32,0.012,34.187,0.257
2005ke,0.0045,53698.8,0.7,"M,SN",1.82,0.05,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3,,10.0,53.768125,-24.944111111111113,,,,,,,,,,
2005ki,0.0196,53705.5,0.3,"B,M,SA,SN",1.41,0.07,B,-19.19,0.06,-0.08,0.03,-0.07,0.03,CfA3,,1.0,160.11814583333333,9.182538888888887,0.021,0.001,15.546,0.021,-2.077,0.14800000000000002,-0.057999999999999996,0.018000000000000002,34.914,0.214
2005lz,0.04,53736.1,0.1,"B,M,SA",1.34,0.08,B,-19.22,0.09,-0.09,0.05,-0.09,0.05,CfA3,,1.0,32.707333333333324,34.98283333333333,0.04,0.001,17.59,0.015,-1.4609999999999999,0.188,0.127,0.015,36.567,0.179
2005mc,0.0253,53733.6,0.2,"M,SN",1.63,0.05,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3,,2.0,126.77649999999996,21.646,0.026000000000000002,0.001,17.236,0.018000000000000002,-3.0410000000000004,0.242,0.309,0.017,35.597,0.19899999999999998
2005na,0.0263,53740.9,1.3,"B,M,SA",1.09,0.06,B,-19.37,0.07,-0.1,0.06,-0.08,0.06,"CfA3,Gan10",,6.0,105.40258333333333,14.13325,0.027000000000000003,0.001,16.099,0.016,-0.73,0.10099999999999999,0.012,0.013999999999999999,35.436,0.19399999999999998
2006D,0.0086,53757.0,0.3,"B,M,SA,SN",1.35,0.05,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3,,2.0,193.141125,-9.775194444444443,,,,,,,,,,
2006H,0.014,53752.6,0.4,"M,SN",1.83,0.05,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3,,14.0,51.50620833333333,40.695138888888884,,,,,,,,,,
2006N,0.0143,53760.6,0.2,"B,M,SA,SN",1.5,0.03,B,-19.18,0.08,-0.09,0.04,-0.07,0.04,CfA3,,12.0,92.13016666666668,64.7236388888889,0.013999999999999999,0.001,15.13,0.016,-2.439,0.122,0.01,0.013999999999999999,34.294000000000004,0.253
2006S,0.0321,53769.2,0.1,"B,M,SA,SN",0.93,0.04,B,-19.64,0.08,-0.14,0.04,-0.12,0.04,CfA3,,9.0,191.41291666666663,35.08677777777778,0.033,0.001,16.804000000000002,0.01,0.547,0.10300000000000001,0.098,0.01,36.062,0.182
2006X,0.0052,53786.1,0.8,"B,SA,SN",1.18,0.03,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3,,25.0,185.72470833333333,15.808888888888891,,,,,,,,,,
2006ac,0.0227,53781.1,0.2,"B,M,SA,SN",1.2,0.03,B,-19.21,0.07,-0.01,0.04,0.01,0.05,CfA3,,12.0,190.43708333333333,35.068722222222235,0.024,0.001,16.164,0.012,-0.968,0.098,0.126,0.011000000000000001,35.193000000000005,0.201
2006al,0.0679,53787.7,0.3,"M,SA,SN",1.35,0.07,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3,,6.0,159.86774999999997,5.183416666666667,0.069,0.001,18.395,0.027000000000000003,-2.2769999999999997,0.327,-0.012,0.025,37.63,0.18
2006ax,0.0167,53826.8,0.3,"B,M,SA,SN",1.06,0.03,B,-19.5,0.06,-0.1,0.03,-0.09,0.03,CfA3,,4.0,171.01441666666662,-12.291444444444444,0.018000000000000002,0.001,15.005999999999998,0.008,-0.052000000000000005,0.057,-0.039,0.008,34.541,0.223
2006az,0.0311,53826.4,0.4,"B,M,SA,SN",1.29,0.03,B,-19.28,0.06,-0.14,0.04,-0.1,0.04,CfA3,,2.0,183.06116666666665,56.179388888888894,0.032,0.001,16.436,0.012,-1.758,0.09,-0.052000000000000005,0.011000000000000001,35.824,0.184
2006bq,0.0219,53846.9,0.8,"B,SA,SN",1.29,0.06,B,-19.18,0.09,-0.09,0.07,-0.07,0.07,CfA3,,1.0,279.9945,39.98077777777778,0.021,0.001,16.218,0.013999999999999999,-1.9,0.115,0.162,0.012,35.062,0.20800000000000002
2006br,0.0245,53852.1,1.1,"B,SA,SN",1.12,0.09,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3,,2.0,202.5075,13.415777777777777,,,,,,,,,,
2006bt,0.0322,53857.4,0.6,"B,M,SA",1.0,0.06,B,-19.47,0.09,-0.13,0.06,-0.08,0.06,"CfA3,Gan10",,9.0,239.140875,20.052,0.033,0.001,16.896,0.008,0.069,0.10400000000000001,0.162,0.008,35.944,0.182
2006bu,0.081,53856.4,0.2,M,9.99,9.99,,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3,,1.0,208.19920833333333,5.313722222222221,0.084,0.001,18.133,0.09,2.347,0.816,-0.126,0.042,38.131,0.22899999999999998
2006bw,0.03,53852.3,3.5,"B,SA",1.28,0.09,B,-19.29,0.1,-0.11,0.07,-0.1,0.08,CfA3,,1.0,218.486375,3.798833333333333,0.031,0.001,17.476,0.052000000000000005,-2.173,0.272,0.369,0.028999999999999998,35.778,0.20600000000000002
2006bz,0.0268,53862.6,0.2,M,2.09,0.16,CfA3,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3,,3.0,195.18075,27.96161111111111,,,,,,,,,,
2006cf,0.0416,53872.4,0.2,M,9.99,9.99,,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3,,7.0,163.51075,46.02675,0.042,0.001,17.090999999999998,0.04,-1.166,0.415,-0.02,0.027999999999999997,36.461999999999996,0.195
2006cj,0.0675,53878.5,1.2,"M,SA,SN",0.81,0.06,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3,,8.0,194.85174999999995,28.347666666666665,0.068,0.001,18.087,0.027000000000000003,1.475,0.59,-0.075,0.017,37.868,0.182
2006cm,0.0163,53885.4,0.5,B,1.04,0.07,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3,,2.0,320.07283333333334,-1.6843055555555555,,,,,,,,,,
2006cp,0.0223,53896.7,0.0,"B,M,SA,SN",0.98,0.09,B,-19.47,0.09,-0.09,0.05,-0.06,0.05,CfA3,,11.0,184.81204166666663,22.427277777777782,0.023,0.001,15.972999999999999,0.015,-0.07200000000000001,0.1,0.153,0.013000000000000001,35.028,0.20199999999999999
2006cq,0.0483,53889.8,0.0,M,9.99,9.99,,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3,,1.0,201.1045833333333,30.95630555555556,0.049,0.001,17.535999999999998,0.013000000000000001,-0.009000000000000001,0.47600000000000003,0.035,0.013999999999999999,36.89,0.179
2006cz,0.0418,53907.3,0.1,SA,9.99,9.99,,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3,,3.0,222.15275,-4.741861111111112,,,,,,,,,,
2006em,0.0192,53976.7,0.7,"B,M",1.5,0.15,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,"CfA3,Gan10",,1.0,36.43458333333332,41.942166666666665,,,,,,,,,,
2006eq,0.0495,53975.3,0.5,Bur11,1.62,0.05,Bur11,-99.99,9.99,-9.99,9.99,-9.99,9.99,Con10,,1.0,322.15470833333325,1.2281111111111112,,,,,,,,,,
2006et,0.0224,53993.9,0.5,"B,M,SA,SN",1.02,0.05,B,-19.52,0.08,-0.07,0.06,-0.05,0.06,CfA3,,2.0,10.690916666666665,-23.558444444444447,0.021,0.001,15.942,0.025,0.626,0.226,0.201,0.02,34.951,0.214
2006ev,0.0286,53988.6,0.5,Str11,1.32,0.05,Str11,-99.99,9.99,-9.99,9.99,-9.99,9.99,"CfA3,Str11",,1.0,322.74691666666666,13.989222222222221,,,,,,,,,,
2006gj,0.0283,53999.1,0.2,"M,SA,SN",1.48,0.05,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3,,2.0,49.39916666666666,-1.691722222222222,0.027999999999999997,0.001,17.651,0.03,-2.171,0.275,0.408,0.022000000000000002,35.858000000000004,0.2
2006gr,0.0346,54012.4,0.5,"B,M,SA,SN",0.81,0.07,B,-19.64,0.08,-0.12,0.05,-0.08,0.06,CfA3,,17.0,338.0944583333333,30.828694444444448,0.034,0.001,16.909000000000002,0.01,0.405,0.09300000000000001,0.113,0.009000000000000001,36.115,0.18100000000000002
2006gt,0.0448,54001.9,0.2,Bur11,1.66,0.05,Bur11,-99.99,9.99,-9.99,9.99,-9.99,9.99,Con10,,3.0,14.072083333333332,-1.6294444444444445,,,,,,,,,,
2006hb,0.0153,53999.6,0.4,"B,SA",1.44,0.09,B,-19.17,0.09,-0.11,0.07,-0.17,0.06,"CfA3,Gan10",,8.0,75.50533333333331,-21.131972222222224,,,,,,,,,,
2006kf,0.0213,54040.7,0.0,"B,M,SA,SN",1.55,0.03,B,-19.09,0.09,-0.11,0.04,-0.1,0.04,CfA3,,1.0,55.46033333333333,8.156944444444445,0.021,0.001,15.806,0.026000000000000002,-2.86,0.20800000000000002,-0.031,0.025,35.028,0.21899999999999997
2006le,0.0174,54047.4,0.3,"B,M,SA,SN",0.88,0.03,B,-19.65,0.04,-0.14,0.03,-0.09,0.03,CfA3,,23.0,75.17495833333331,62.25527777777778,0.017,0.001,14.802,0.012,1.452,0.091,-0.054000000000000006,0.011000000000000001,34.528,0.228
2006lf,0.0132,54045.0,0.2,"B,M,SA,SN",1.3,0.06,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,"CfA3,Gan10",,20.0,69.622875,44.03375,0.013000000000000001,0.001,13.629000000000001,0.021,-1.9380000000000002,0.11900000000000001,-0.20800000000000002,0.019,33.385,0.27
2006mo,0.0372,54046.8,0.7,"M,SA",9.99,9.99,,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3,,1.0,11.660625,36.332722222222216,0.036000000000000004,0.001,17.404,0.040999999999999995,-2.658,0.25,0.10099999999999999,0.033,36.32,0.2
2006nz,0.0441,54057.9,0.1,M,9.99,9.99,,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3,,1.0,14.12170833333333,-1.2266944444444443,0.037000000000000005,0.001,18.096,0.036000000000000004,-3.484,0.971,0.305,0.032,36.421,0.22
2006oa,0.06,54066.2,0.1,"B,M,SA,SN",0.89,0.07,B,-19.59,0.1,-0.08,0.05,-0.07,0.05,CfA3,,7.0,320.92899999999986,-0.8430611111111111,0.059000000000000004,0.001,17.83,0.017,0.7559999999999999,0.28300000000000003,0.038,0.012,37.257,0.171
2006ot,0.0529,54063.7,0.5,Str11,0.84,0.05,Str11,-99.99,9.99,-9.99,9.99,-9.99,9.99,"CfA3,Str11",,2.0,33.77016666666666,-20.766166666666667,,,,,,,,,,
2006sr,0.0244,54092.1,0.4,"B,M,SA,SN",1.24,0.06,B,-19.18,0.08,-0.09,0.05,-0.06,0.05,CfA3,,6.0,0.8959166666666666,23.19616666666667,0.023,0.001,16.12,0.015,-1.6280000000000001,0.209,0.061,0.013000000000000001,35.241,0.204
2007A,0.0171,54112.6,0.5,Str11,0.95,0.05,Str11,-99.99,9.99,-9.99,9.99,-9.99,9.99,Str11,,3.0,6.319416666666666,12.886805555555556,,,,,,,,,,
2007F,0.0236,54123.4,0.0,"B,M,SA,SN",0.96,0.03,B,-19.57,0.06,-0.13,0.04,-0.12,0.04,CfA3,,13.0,195.8128333333333,50.61880555555555,0.024,0.001,15.853,0.009000000000000001,0.33899999999999997,0.067,-0.008,0.009000000000000001,35.351,0.198
2007S,0.0139,54144.1,0.1,"B,M,SA,SN",0.94,0.03,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3,,12.0,150.13025,4.407277777777779,0.015,0.001,15.81,0.01,0.8270000000000001,0.09699999999999999,0.473,0.01,34.168,0.258
2007ae,0.0644,54154.0,0.1,"B,M,SA,SN",0.98,0.06,B,-19.58,0.08,-0.08,0.06,-0.02,0.06,CfA3,,2.0,255.46645833333332,79.03183333333334,0.064,0.001,17.736,0.042,1.05,0.35100000000000003,0.02,0.022000000000000002,37.238,0.182
2007af,0.0054,54174.1,0.4,"M,SA,SN",1.04,0.05,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3,,32.0,215.587625,-0.3937777777777778,,,,,,,,,,
2007al,0.0121,54168.9,0.3,"M,SN",1.89,0.05,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,"CfA3,Gan10",,8.0,149.82699999999997,-19.473833333333328,,,,,,,,,,
2007au,0.02,54184.0,0.4,"M,SN",1.69,0.05,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3,,4.0,107.942125,49.853722222222224,0.02,0.001,16.616,0.035,-3.4189999999999996,0.272,0.32899999999999996,0.03,34.888000000000005,0.22699999999999998
2007ax,0.0071,54187.1,0.5,Str11,1.87,0.05,Str11,-99.99,9.99,-9.99,9.99,-9.99,9.99,"CfA3,Str11",,6.0,125.68025,22.554694444444447,,,,,,,,,,
2007ba,0.0385,54196.2,0.5,Str11,1.89,0.05,Str11,-99.99,9.99,-9.99,9.99,-9.99,9.99,"CfA3,Str11",,3.0,229.174225,7.396922222222222,,,,,,,,,,
2007bc,0.0208,54199.9,0.1,"B,M,SA,SN",1.37,0.05,B,-19.29,0.08,-0.13,0.05,-0.13,0.04,CfA3,,8.0,169.81927916666663,20.813527777777782,0.022000000000000002,0.001,15.854000000000001,0.019,-1.669,0.16,0.032,0.018000000000000002,35.043,0.21
2007bd,0.031,54206.5,0.1,"B,M,SA,SN",1.3,0.08,B,-19.21,0.06,-0.06,0.04,-0.04,0.04,CfA3,,6.0,127.88696666666668,-1.1977833333333334,0.032,0.001,16.539,0.015,-1.818,0.153,-0.002,0.016,35.798,0.187
2007bm,0.0062,54224.5,0.4,"M,SA,SN",1.09,0.05,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3,,11.0,171.25958333333332,-9.798277777777775,,,,,,,,,,
2007ca,0.0141,54226.7,0.2,"B,M,SA,SN",0.89,0.04,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3,,9.0,202.7742083333333,-15.101833333333332,0.015,0.001,15.91,0.012,0.21100000000000002,0.11199999999999999,0.298,0.012,34.635999999999996,0.244
2007cg,0.0332,54228.5,1.8,"B,SA",1.05,0.1,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3,,3.0,201.38991666666664,-24.65225,0.034,0.001,18.155,0.062,-0.868,0.45299999999999996,0.6709999999999999,0.028999999999999998,35.845,0.207
2007ci,0.018,54246.4,0.2,"M,SN",1.6,0.05,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3,,11.0,176.44104166666665,19.770527777777776,0.019,0.001,15.91,0.032,-3.182,0.247,0.134,0.027999999999999997,34.691,0.23
