#SN,zhel,tmax(B),+/-_x,ref.,Dm15,+/-.1_x,ref..1,M_B,+/-.2_x,B-V,+/-.3_x,Bm-Vm,+/-.4_x,Phot.,ref..2,n_spec,RA,DEC,z_CMB,+/-_y,m_B,+/-.1_y,x_1,+/-.2_y,c,+/-.3_y,mu,+/-.4_y
1998V,0.0174,50891.2,0.8,"B,M,SA,SN",0.99,0.06,B,-19.44,0.08,-0.12,0.06,-0.1,0.06,CfA2,,9.0,275.6558333333333,15.702333333333332,0.017,0.001,15.07,0.018000000000000002,-0.315,0.14800000000000002,0.03,0.013000000000000001,34.404,0.23
1998ab,0.027,50914.4,0.5,"B,M,SA,SN",1.04,0.06,B,-19.46,0.08,-0.11,0.07,-0.07,0.06,CfA2,,13.0,192.19683333333333,41.92452777777777,0.027999999999999997,0.001,16.09,0.017,0.13,0.11599999999999999,0.10800000000000001,0.013999999999999999,35.278,0.192
1998aq,0.0039,50931.2,0.4,"B,M,SA,SN",1.11,0.04,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,Jha07,,29.0,179.10779166666663,55.12866666666667,,,,,,,,,,
1998bp,0.0105,50936.4,0.2,"M,SN",1.79,0.05,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA2,,12.0,268.71141666666665,18.330694444444443,,,,,,,,,,
1998bu,0.0029,50952.7,0.5,"B,M,SA,SN",1.03,0.02,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,Jha07,,33.0,161.6917083333333,11.835416666666667,,,,,,,,,,
1998co,0.0182,50987.5,0.0,M,9.99,9.99,,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA2,,8.0,326.901,-13.181194444444444,,,,,,,,,,
1998de,0.0167,51026.7,0.2,"M,SN",1.88,0.05,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,"CfA2,Jha07",,7.0,12.028666666666664,27.62458333333333,,,,,,,,,,
1998dh,0.0087,51029.9,0.9,"B,M,SA,SN",1.17,0.06,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA2,,10.0,348.6679583333333,4.53725,,,,,,,,,,
1998dm,0.0065,51059.9,0.6,"B,M,SA",0.9,0.03,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,"CfA2,Gan10",,10.0,21.55820833333333,-6.103888888888887,,,,,,,,,,
1998dx,0.0542,51071.9,0.5,"B,M,SA,SN",1.32,0.07,B,-19.26,0.08,-0.11,0.05,-0.09,0.06,CfA2,,7.0,272.7995416666666,49.86130555555556,0.054000000000000006,0.001,17.51,0.033,-1.713,0.387,-0.073,0.021,36.955999999999996,0.182
1998ec,0.0199,51089.5,1.6,SA,1.08,0.09,CfA2,-99.99,9.99,-9.99,9.99,-9.99,9.99,"CfA2,Gan10",,6.0,103.2754583333333,50.03947222222222,,,,,,,,,,
