idx,SN,zhel_spec,tmax(B)_spec,tmax(B)_err_spec,ref_spec,Dm15_spec,Dm15_err_spec,ref1_spec,M_B_spec,M_B_err_spec,B-V_spec,B-V_err_spec,Bm-Vm_spec,Bm-Vm_err_spec,Phot_ref_spec,ref..2,n_spec,RA,DEC,z_CMB,z_CMB_salt2_err,m_B_salt2,m_B_salt2_err,x_1_salt2,x_1_salt2_err,c_salt2,c_salt2_err,mu_salt2,mu_salt2_err,EW5972_spec,EW6355_spec,v6355_spec,Phase_spec,BClass_spec,WClass_spec,SNIa_salt,z_cmb_salt,z_err_salt,m_B_salt,m_B_err_salt,s_salt,s_err_salt,c_salt,c_err_salt,mu_salt,mu_err_salt,SNIa_ml31,z_ml31,z_err_ml31,x1_ml31,x1_err_ml31,c_ml31,c_err_ml31,mu_ml31,mu_err_ml31
10,1996X,0.0068,50191.1,0.3,"B,M,SA,SN",1.26,0.04,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,"CfA1,Jha07",,15.0,199.50470833333333,-26.845916666666664,,,,,,,,,,,7.9,90.3,-11161.0,0.1,CN,N,,,,,,,,,,,,,,,,,,,,
11,1996Z,0.0074,50217.0,1.1,SA,1.22,0.1,Phi99,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA1,,6.0,144.18674999999996,-21.147694444444443,,,,,,,,,,,12.5,113.6,-11708.0,4.1,BL,HV,,,,,,,,,,,,,,,,,,,,
12,1996ab,0.123,50223.9,1.8,"B,M,SA",1.01,0.07,B,-19.44,0.11,-0.14,0.06,-0.13,0.06,CfA1,,1.0,230.28479166666665,27.92688888888889,0.124,0.001,19.54,0.024,-0.907,0.252,-0.062,0.024,39.043,0.174,,,,,,,1996ab,0.124,0.001,19.53,0.131,0.96,0.03,-0.08,0.02,39.152,0.14800000000000002,sn96ab,0.124,0.001,0.132,0.165,0.163,0.17,38.887,0.28800000000000003
13,1996ai,0.0029,50255.1,0.9,"B,SN",0.88,0.06,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA1,,7.0,197.7422083333333,37.05983333333333,,,,,,,,,,,11.9,72.5,-10838.0,0.1,CN,N,,,,,,,,,,,,,,,,,,,,
14,1996bk,0.0066,50368.5,0.6,"M,SN",1.78,0.05,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA1,,1.0,206.7415833333333,60.97025,,,,,,,,,,,42.0,126.9,-11890.0,2.5,CL,N,,,,,,,,,,,,,,,,,,,,
15,1996bl,0.036000000000000004,50376.5,0.3,"B,M,SA,SN",1.07,0.06,B,-19.43,0.08,-0.1,0.06,-0.08,0.06,CfA1,,4.0,9.074875,11.394583333333333,0.035,0.001,16.673,0.016,-0.18100000000000002,0.153,0.055,0.015,35.961,0.183,9.3,85.7,-12594.0,-2.2,CN,HV,1996bl,0.036000000000000004,0.001,16.62,0.14300000000000002,0.99,0.02,0.03,0.01,35.995,0.16699999999999998,sn96bl,0.035,0.001,-0.128,0.064,0.248,0.115,36.059,0.163
16,1996bo,0.0172,50387.0,0.5,"B,M,SA,SN",1.16,0.03,B,-19.3,0.1,-0.07,0.05,-0.02,0.06,"CfA1,Jha07",,5.0,27.09525,11.520861111111113,0.016,0.001,15.821,0.013999999999999999,-0.968,0.16,0.397,0.013999999999999999,34.179,0.23600000000000002,15.0,133.3,-11927.0,3.3,BL,HV,1996bo,0.016,0.001,15.82,0.189,0.87,0.02,0.37,0.01,34.165,0.257,sn96bo,0.016,0.001,0.044000000000000004,0.07,0.986,0.12,34.004,0.22399999999999998
17,1997E,0.0133,50468.0,0.4,"B,M,SA,SN",1.4,0.04,B,-19.17,0.08,-0.13,0.05,-0.13,0.06,CfA2,,4.0,101.90874999999998,74.4975,0.013000000000000001,0.001,15.093,0.015,-1.83,0.248,0.08900000000000001,0.015,34.124,0.265,28.1,119.2,-12373.0,-3.7,BL,N,,,,,,,,,,,,,,,,,,,,
18,1997Y,0.0159,50486.5,0.7,"B,M,SA,SN",1.15,0.09,B,-19.33,0.09,-0.15,0.06,-0.14,0.06,CfA2,,4.0,191.38083333333333,54.73805555555556,0.017,0.001,15.302999999999999,0.023,-1.264,0.27699999999999997,0.040999999999999995,0.022000000000000002,34.512,0.24,14.0,103.0,-10907.0,1.9,CN,N,1997y,0.017,0.001,15.31,0.275,0.88,0.02,0.04,0.01,34.522,0.324,,,,,,,,,
19,1997bp,0.0083,50548.5,0.6,"B,M,SN",1.08,0.06,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,"CfA2,Jha07",,13.0,191.7239583333333,-11.642555555555555,,,,,,,,,,,8.7,170.4,-15691.0,-0.2,BL,HV,,,,,,,,,,,,,,,,,,,,
20,1997bq,0.0093,50557.9,0.5,"B,M,SA",1.14,0.06,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA2,,13.0,154.2722083333333,73.38391666666669,,,,,,,,,,,12.6,160.4,-15208.0,-5.6,BL,HV,,,,,,,,,,,,,,,,,,,,
21,1997br,0.0071,50559.3,0.7,"B,M,SN",1.09,0.06,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,"CfA2,Jha07",,11.0,200.17666666666668,-22.03675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1997do,0.0101,50766.1,0.1,"M,SA,SN",0.94,0.05,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA2,,14.0,111.67708333333331,47.09333333333333,0.011000000000000001,0.001,14.322000000000001,0.025,-0.212,0.252,0.135,0.017,33.408,0.309,13.4,108.3,-14332.0,-6.6,BL,HV,,,,,,,,,,,,sn97do,0.011000000000000001,0.001,-0.162,0.081,0.371,0.102,33.56,0.297
23,1997dt,0.0073,50785.9,0.4,M,1.04,0.15,CfA2,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA2,,8.0,345.01225874999994,15.980679444444444,,,,,,,,,,,10.8,83.0,-11310.0,0.2,CN,N,,,,,,,,,,,,,,,,,,,,
24,1998V,0.0174,50891.2,0.8,"B,M,SA,SN",0.99,0.06,B,-19.44,0.08,-0.12,0.06,-0.1,0.06,CfA2,,9.0,275.6558333333333,15.702333333333332,0.017,0.001,15.07,0.018000000000000002,-0.315,0.14800000000000002,0.03,0.013000000000000001,34.404,0.23,14.3,83.6,-10843.0,0.3,CN,N,1998v,0.017,0.001,15.1,0.274,0.93,0.03,0.05,0.01,34.348,0.321,,,,,,,,,
25,1998ab,0.027000000000000003,50914.4,0.5,"B,M,SA,SN",1.04,0.06,B,-19.46,0.08,-0.11,0.07,-0.07,0.06,CfA2,,13.0,192.19683333333333,41.92452777777777,0.027999999999999997,0.001,16.09,0.017,0.13,0.11599999999999999,0.10800000000000001,0.013999999999999999,35.278,0.192,13.3,45.0,-9209.0,6.7,SS,91T,1998ab,0.028,0.001,16.05,0.249,0.93,0.02,0.1,0.02,35.169000000000004,0.275,sn98ab,0.027999999999999997,0.001,-0.128,0.051,0.45299999999999996,0.081,35.165,0.16399999999999998
26,1998aq,0.0039,50931.2,0.4,"B,M,SA,SN",1.11,0.04,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,Jha07,,29.0,179.10779166666663,55.12866666666667,,,,,,,,,,,11.1,77.1,-10796.0,0.0,CN,N,,,,,,,,,,,,,,,,,,,,
27,1998bp,0.0105,50936.4,0.2,"M,SN",1.79,0.05,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA2,,12.0,268.71141666666665,18.330694444444443,,,,,,,,,,,49.1,119.7,-11006.0,0.1,CL,N,,,,,,,,,,,,sn98bp,0.01,0.001,1.1420000000000001,0.055,0.188,0.10099999999999999,33.269,0.28800000000000003
28,1998bu,0.0029,50952.7,0.5,"B,M,SA,SN",1.03,0.02,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,Jha07,,33.0,161.6917083333333,11.835416666666667,,,,,,,,,,,16.4,92.1,-11009.0,-1.6,CN,N,,,,,,,,,,,,,,,,,,,,
29,1998co,0.0182,50987.5,0.0,M,9.99,9.99,,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA2,,8.0,326.901,-13.181194444444444,,,,,,,,,,,26.1,97.8,-11100.0,-0.0,CN,N,1998co,0.017,0.001,15.7,0.274,0.61,0.03,0.11,0.01,34.396,0.322,sn98co,0.017,0.001,0.44299999999999995,0.19399999999999998,0.365,0.177,34.372,0.223
30,1998de,0.0167,51026.7,0.2,"M,SN",1.88,0.05,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,"CfA2,Jha07",,7.0,12.028666666666664,27.62458333333333,,,,,,,,,,,55.2,145.9,-11328.0,-0.3,CL,91bg,,,,,,,,,,,,sn98de,0.016,0.001,1.4509999999999998,0.035,0.337,0.10400000000000001,34.449,0.213
31,1998dh,0.0087,51029.9,0.9,"B,M,SA,SN",1.17,0.06,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA2,,10.0,348.6679583333333,4.53725,,,,,,,,,,,10.1,121.8,-12091.0,-0.6,BL,N,,,,,,,,,,,,,,,,,,,,
32,1998dm,0.0065,51059.9,0.6,"B,M,SA",0.9,0.03,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,"CfA2,Gan10",,10.0,21.55820833333333,-6.103888888888887,,,,,,,,,,,18.4,85.5,-10610.0,6.5,CN,N,,,,,,,,,,,,,,,,,,,,
33,1998dx,0.0542,51071.9,0.5,"B,M,SA,SN",1.32,0.07,B,-19.26,0.08,-0.11,0.05,-0.09,0.06,CfA2,,7.0,272.7995416666666,49.86130555555556,0.054000000000000006,0.001,17.51,0.033,-1.713,0.387,-0.073,0.021,36.955999999999996,0.182,19.9,97.5,-11876.0,-0.7,CN,N,1998dx,0.054000000000000006,0.001,17.64,0.237,0.75,0.04,0.08,0.03,36.587,0.26,sn98dx,0.054000000000000006,0.001,0.2,0.099,0.107,0.066,36.885,0.14
34,1998ec,0.0199,51089.5,1.6,SA,1.08,0.09,CfA2,-99.99,9.99,-9.99,9.99,-9.99,9.99,"CfA2,Gan10",,6.0,103.2754583333333,50.03947222222222,,,,,,,,,,,6.2,116.8,-12751.0,-3.0,BL,HV,,,,,,,,,,,,,,,,,,,,
35,1998ef,0.0177,51113.9,0.3,"B,M,SA",1.27,0.07,B,-19.3,0.07,-0.08,0.06,-0.03,0.06,CfA2,,4.0,15.861958333333332,32.23677777777778,0.017,0.001,14.806,0.025,-1.389,0.257,-0.005,0.018000000000000002,34.117,0.237,9.9,119.7,-13055.0,1.3,BL,HV,1998ef,0.017,0.001,14.81,0.275,0.85,0.02,0.02,0.01,34.037,0.324,sn98ef,0.017,0.001,0.11900000000000001,0.096,0.18100000000000002,0.09699999999999999,34.17,0.213
36,1998eg,0.0249,51110.9,0.4,"M,SA,SN",1.14,0.05,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA2,,6.0,339.8762083333333,8.605722222222223,0.024,0.001,16.077,0.015,-0.8220000000000001,0.35600000000000004,0.047,0.018000000000000002,35.317,0.207,15.4,93.5,-10860.0,-0.8,CN,N,1998eg,0.024,0.001,16.1,0.263,0.93,0.03,0.05,0.01,35.348,0.292,sn98eg,0.024,0.001,0.001,0.115,0.27699999999999997,0.12300000000000001,35.305,0.187
37,1998es,0.0106,51142.7,0.9,"B,M,SA,SN",0.85,0.04,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,"CfA2,Gan10",,26.0,24.32333333333333,5.880722222222222,,,,,,,,,,,5.1,54.0,-10183.0,-0.5,SS,91T,,,,,,,,,,,,,,,,,,,,
38,1999aa,0.0144,51232.4,0.9,"B,M,SA,SN",0.78,0.02,B,-19.64,0.07,-0.17,0.04,-0.13,0.04,"CfA2,Jha07",,28.0,126.92512499999998,21.487444444444453,0.015,0.001,14.694,0.009000000000000001,0.981,0.073,-0.015,0.009000000000000001,34.277,0.242,1.3,51.2,-10430.0,-0.2,SS,91T,1999aa,0.015,0.001,14.69,0.121,1.05,0.01,-0.02,0.01,34.268,0.223,sn99aa,0.015,0.001,-0.27699999999999997,0.027999999999999997,0.024,0.025,34.461999999999996,0.203
