#SN,RA,DEC
2002he,124.99512499999999,62.82033333333334
2002hu,34.58358333333333,37.46633333333334
2002hv,140.54545833333333,33.836333333333336
2002hw,1.7044166666666667,8.63013888888889
2002jg,334.86999999999995,29.38458333333333
2002jm,154.85499999999996,-5.654027777777778
2002jy,20.31779166666667,40.498694444444446
2002kf,99.31379166666666,49.852833333333336
2003D,144.72299999999998,-4.851416666666666
2003F,77.88745833333333,17.05788888888889
2003K,233.0079583333333,68.24330555555555
2003M,183.33749999999998,21.64677777777778
2003S,205.3312083333333,55.67680555555555
2003U,260.69024999999993,62.164
2003W,146.70616666666666,16.04377777777778
2003Y,133.64416666666665,57.17216666666666
2003ae,142.09416666666664,27.44463888888889
2003af,167.59037499999997,23.41413888888889
2003ag,171.50758333333332,1.9841111111111112
2003ai,195.24449999999996,39.85680555555556
2003ar,240.53379166666664,70.41541666666667
2003bt,163.84366666666665,-7.653416666666667
2003cg,153.56654166666664,3.4673611111111113
2003ch,109.49133333333332,9.693027777777777
2003cq,179.05904166666664,60.521972222222225
2003de,152.67187499999997,35.74802777777778
2003dt,311.8231666666667,0.3118888888888889
2003du,218.64916666666664,59.33438888888889
2003eh,167.10141666666664,3.4963888888888888
2003ek,259.63541666666663,41.666888888888884
2003ep,320.2805833333333,23.084944444444442
2003ez,190.79945833333332,-2.501138888888889
2003fa,266.0321666666666,40.881
2003fd,205.4320833333333,40.877361111111114
2003ge,245.0364583333333,37.798249999999996
2003gj,316.82991666666663,-25.48988888888889
2003gn,338.4653333333333,20.80236111111111
2003gq,343.33616666666666,32.132666666666665
2003hm,42.24329166666666,3.1687777777777777
2003hu,287.88083333333327,77.89311111111111
2003hv,46.03883333333333,-26.085416666666667
2003hw,45.45841666666666,35.74344444444444
2003hx,86.69570833333333,-16.7835
2003hz,87.03274999999998,46.25633333333333
2003ia,244.42154166666663,35.002
2003ic,10.459291666666665,-9.305277777777778
2003if,49.96920833333333,-26.064027777777778
2003im,11.246999999999998,-8.886527777777777
2003in,53.88879166666666,5.064638888888889
2003it,1.451958333333333,27.452666666666666
2003iu,28.852291666666662,21.285111111111114
2003iv,42.530208333333334,12.846250000000001
2003iz,15.528125000000001,26.93925
2003jz,146.61945833333334,45.751305555555554
2003kc,146.643,30.655277777777776
2003kd,45.19083333333332,44.453611111111115
2003kf,91.14758333333332,-12.628555555555556
2003kg,330.8943333333333,15.102944444444445
2003kh,298.0747083333333,58.98125
2003kz,144.64695833333332,52.29811111111111
2003lc,20.85758333333333,30.787472222222224
2003lq,0.7667499999999999,-1.9126388888888888
2004B,70.51962499999999,-7.202277777777778
2004H,173.49904166666664,49.062916666666666
2004J,86.63408333333332,-17.781388888888888
2004K,215.91604166666664,-19.447222222222223
2004L,156.767125,16.018694444444442
2004P,203.74066666666664,34.04269444444444
2004ab,199.24241666666666,-16.631305555555556
2004ap,151.43254166666665,10.271416666666667
2004as,171.41324999999998,22.830388888888887
2004at,164.68824999999998,59.486666666666665
2004av,175.24099999999999,-22.481555555555556
2004az,178.20091666666664,29.347694444444443
2004bc,164.88041666666663,75.19130555555556
2004bd,174.92575,31.90883333333333
2004bg,170.25637499999996,21.33983333333333
2004bj,199.07512499999999,7.0479722222222225
2004bk,204.36966666666666,4.103138888888888
2004bo,201.526625,-19.77572222222222
2004bp,167.47187499999998,37.001777777777775
2004ca,325.88683333333324,43.692499999999995
2004ct,235.94062499999998,28.416527777777777
2004cu,214.62425,12.884166666666665
2004da,305.58849999999995,6.430638888888889
2004db,341.98283333333336,-22.327916666666667
2004dt,30.551424999999995,-0.10058333333333334
2004ef,340.5438874999999,19.996941666666668
2004fd,40.813541666666666,32.42377777777777
2004fu,308.7980833333333,64.80713888888889
2004fz,30.27670833333333,31.878944444444446
2004gc,80.45737499999998,6.676694444444445
2004gs,129.59937916666664,17.63134722222222
2004gz,243.44045833333328,61.02386111111111
2005A,37.680208333333326,-2.9388333333333336
2005G,206.13662499999998,4.778972222222222
2005M,144.38649999999998,23.202777777777776
2005am,139.05195833333335,-16.304444444444446
2005ao,266.20683333333335,61.907805555555555
2005bc,219.31158333333332,38.45408333333334
2005bd,93.01458333333332,51.867583333333336
2005be,224.88633333333328,16.66988888888889
2005bl,181.05099999999996,20.40683333333333
2005bo,192.4209583333333,-11.0965
2005bv,216.03099999999998,26.297305555555557
2005cc,209.27066666666664,41.8465
2005cf,230.38799999999998,-7.449194444444445
2005ch,215.5282083333333,1.99325
2005cn,199.50191666666666,-26.809194444444444
2005cr,185.5717083333333,12.397027777777778
2005ej,283.4103333333333,66.23313888888889
2005el,77.95316666666666,5.194166666666667
2005eq,47.205458333333326,-7.03325
2005eu,36.930416666666666,28.17716666666667
2005hc,29.199899999999996,-0.21350555555555556
2005hf,21.774874999999998,19.116805555555555
2005hk,6.962041666666666,-1.1981388888888889
2005iq,359.63541666666663,-18.709166666666665
2005kc,338.5305833333333,5.568416666666667
2005ke,53.768125,-24.944111111111113
2005ki,160.1181458333333,9.182538888888889
2005ls,43.56654166666666,42.724944444444446
2005lu,39.01545833333333,-17.26388888888889
2005lz,32.707333333333324,34.98283333333333
2005mc,126.77649999999997,21.646
2005mz,49.957833333333326,41.50516666666667
2005na,105.40258333333331,14.13325
2006B,350.29075,33.40033333333333
2006D,193.141125,-9.775194444444445
2006E,208.36937499999996,5.206333333333333
2006H,51.506208333333326,40.695138888888884
2006N,92.13016666666667,64.72363888888889
2006R,245.83674999999997,37.26383333333333
2006S,191.41291666666666,35.08677777777778
2006X,185.7247083333333,15.80888888888889
2006ac,190.4370833333333,35.06872222222223
2006ak,167.38679166666665,28.63063888888889
2006al,159.86774999999997,5.183416666666667
2006ap,262.67162499999995,6.275861111111111
2006ax,171.01441666666665,-12.291444444444444
2006az,183.06116666666662,56.17938888888889
2006bb,128.37954166666665,41.517805555555555
2006bk,226.13626249999996,35.96500833333334
2006bm,169.59108333333333,28.208777777777776
2006bq,279.99449999999996,39.98077777777778
2006br,202.5075,13.415777777777778
2006bt,239.14087499999997,20.052
2006bu,208.1992083333333,5.313722222222222
2006bw,218.486375,3.798833333333333
2006bz,195.18075,27.96161111111111
2006cc,242.48516666666663,43.12638888888889
2006cf,163.51075,46.02675
2006cj,194.85174999999995,28.347666666666665
2006cm,320.0728333333333,-1.6843055555555555
2006cp,184.81204166666663,22.42727777777778
2006cq,201.10458333333332,30.956305555555556
2006cs,206.3912083333333,35.61016666666667
2006cz,222.15275,-4.7418611111111115
2006da,351.95237499999996,14.474166666666667
2006dt,218.929625,8.298833333333333
2006dv,348.9710833333333,5.130611111111111
2006em,36.43458333333332,41.942166666666665
2006eq,322.15470833333325,1.2281111111111112
2006et,10.690916666666665,-23.558444444444444
2006eu,300.713125,49.317305555555556
2006ev,322.74691666666666,13.989222222222221
2006gj,49.39916666666666,-1.6917222222222221
2006gr,338.0944583333333,30.828694444444444
2006gt,14.072083333333332,-1.6294444444444445
2006gz,272.6097083333333,30.99566666666667
2006hb,75.50533333333331,-21.131972222222224
2006je,27.721999999999998,33.098111111111116
2006ke,88.15575,66.81680555555555
2006kf,55.46033333333333,8.156944444444445
2006le,75.17495833333332,62.25527777777778
2006lf,69.622875,44.03375
2006mo,11.660625,36.33272222222222
2006nz,14.12170833333333,-1.2266944444444445
2006oa,320.9289999999999,-0.8430611111111111
2006oq,176.0002916666666,19.977305555555553
2006or,177.01445833333332,30.35666666666667
2006ot,33.77016666666666,-20.766166666666667
2006ou,174.3045833333333,15.435361111111112
2006sr,0.8959166666666666,23.196166666666667
2006su,191.737,36.533833333333334
2006te,122.929125,41.55466666666666
2007A,6.319416666666666,12.886805555555554
2007B,338.8795833333333,34.80183333333333
2007F,195.81283333333332,50.618805555555554
2007H,128.75825,-8.337583333333335
2007S,150.13025,4.407277777777778
2007ae,255.4664583333333,79.03183333333334
2007af,215.58762499999997,-0.3937777777777778
2007al,149.82699999999997,-19.47383333333333
2007ao,214.20725,10.806694444444446
2007ap,239.09608333333333,16.516083333333334
2007at,222.80116666666663,-21.392
2007au,107.94212499999999,49.853722222222224
2007ax,125.68024999999999,22.554694444444443
2007ba,229.174225,7.396922222222223
2007bc,169.81927916666663,20.81352777777778
2007bd,127.88696666666667,-1.1977833333333334
2007bj,245.544125,-1.5142777777777778
2007bk,232.18991666666665,58.870222222222225
2007bm,171.2595833333333,-9.798277777777777
2007bz,194.22404166666666,22.372805555555555
2007ca,202.77420833333332,-15.101833333333333
2007cb,209.57166666666663,-23.372416666666666
2007cc,212.17491666666663,-21.597166666666666
2007cf,230.78191666666663,8.529305555555556
2007cg,201.38991666666664,-24.65225
2007ci,176.44104166666665,19.770527777777776
2007cj,149.98233333333332,-29.617583333333332
2007co,275.765,29.897111111111112
2007cp,190.55299999999997,-17.40213888888889
2007cq,333.66837499999997,5.080166666666666
2007fb,359.21820833333334,5.5088333333333335
2007fc,359.3912083333333,-21.998055555555556
2007fs,330.41849999999994,-21.508222222222223
2007hj,345.4495416666666,15.586500000000001
2007hu,254.1248333333333,27.977888888888888
2007if,17.714041666666667,15.461083333333333
2007ir,38.424583333333324,37.66894444444444
2007is,251.81079166666663,40.24358333333333
2007jg,52.46170833333333,0.05683333333333333
2007kd,141.4917083333333,34.63313888888889
2007kf,262.8823333333333,69.31113888888889
2007kg,359.6559583333333,60.985194444444446
2007ki,106.50374999999998,28.295944444444444
2007kk,55.596916666666665,39.24177777777778
2007le,354.7018749999999,-6.522694444444444
2007nq,14.389999999999997,-1.38875
2007ob,348.1082916666666,13.913694444444445
2007oo,350.58124999999995,50.15555555555555
2007qe,358.55408333333327,27.409166666666664
2007rx,355.0489166666666,27.42125
2007so,41.92970833333333,13.254111111111111
2007sr,180.47,-18.972694444444443
2007ss,190.27529166666665,50.391305555555554
2007su,334.787,13.17786111111111
2007sw,183.40366666666665,46.49336111111111
2007ux,152.33325,14.992444444444443
2008A,24.572416666666665,35.370472222222226
2008C,104.29804166666666,20.43713888888889
2008E,171.40395833333332,52.14052777777778
2008L,49.319374999999994,41.382666666666665
2008Q,21.23845833333333,9.550416666666667
2008R,45.973749999999995,-11.994277777777777
2008Y,169.87737499999997,54.462833333333336
2008Z,145.81354166666665,36.284416666666665
2008ae,149.01333333333332,10.499666666666666
2008af,224.86874999999995,16.653416666666665
2008ai,164.41654166666663,37.66163888888889
2008ar,186.158,10.838166666666668
2008as,155.44954166666665,-19.495
2008at,156.8014583333333,71.41566666666667
2008bf,181.0120833333333,20.245166666666666
SNF20080514-002,0.0,0.0
SNF20080522-000,0.0,0.0
SNF20080522-011,0.0,0.0
SNF20080623-001,0.0,0.0
SNF20080720-001,0.0,0.0
