SNIa_uni,z_uni,m_b_uni,m_b_err_uni,s_uni,s_err_uni,c_uni,c_err_uni,mu_uni,mu_err_uni
2006td,0.015,15.70,0.15,-1.59,0.27,0.18,0.02,34.38,0.22
2006te,0.0321,16.50,0.08,-0.36,0.18,-0.04,0.02,35.87,0.17
2007ae,0.0643,17.73,0.04,1.45,0.27,0.02,0.02,37.18,0.17
2007af,0.0063,13.13,0.34,-0.55,0.06,0.12,0.01,32.08,0.38
2007ai,0.032,16.85,0.10,1.28,0.26,0.20,0.02,35.83,0.19
2007au,0.0209,16.58,0.11,-3.50,0.26,0.31,0.03,34.70,0.19
2007bc,0.0219,15.86,0.10,-1.69,0.18,0.05,0.02,34.85,0.19
2007bd,0.032,16.55,0.07,-1.78,0.16,0.03,0.02,35.59,0.17
2007bm,0.0074,14.45,0.29,-0.81,0.09,0.52,0.01,32.38,0.33
2007bz,0.0227,16.60,0.10,1.41,0.23,0.16,0.02,35.65,0.19
2007ca,0.0151,15.89,0.15,0.37,0.13,0.29,0.01,34.53,0.21
2007ci,0.0192,15.89,0.12,-3.20,0.23,0.13,0.03,34.49,0.2
2007co,0.0266,16.43,0.09,-0.39,0.09,0.15,0.01,35.32,0.18
2007cp,0.0377,17.17,0.08,-3.68,1.30,0.10,0.06,35.80,0.29
2007cq,0.0247,15.79,0.09,-0.62,0.16,0.05,0.01,34.91,0.18
2007f,0.0242,15.86,0.09,0.42,0.08,0.01,0.01,35.19,0.18
2007o,0.0366,16.75,0.06,-0.83,0.14,-0.00,0.02,35.97,0.17
2007qe,0.0229,16.02,0.10,0.53,0.08,0.10,0.01,35.14,0.18
2007r,0.0312,16.60,0.07,-1.76,0.16,-0.07,0.02,35.88,0.17
2007s,0.015,15.78,0.15,1.09,0.12,0.45,0.01,34.11,0.21
2007sr,0.0067,12.69,0.33,0.06,0.11,0.14,0.01,31.66,0.36
2008af,0.0341,16.94,0.10,-1.93,0.29,0.10,0.04,35.77,0.18
2008bf,0.0251,15.68,0.09,0.25,0.12,0.03,0.01,34.95,0.18
2008l,0.0189,15.11,0.13,-1.88,0.28,-0.07,0.04,34.37,0.21
2001c,0.0111,14.25,0.25,0.87,0.90,0.07,0.07,33.49,0.3
2001gb,0.0268,16.44,0.14,-0.71,0.40,0.09,0.07,35.44,0.21
2001gc,0.0193,15.52,0.24,0.17,0.92,0.21,0.11,34.34,0.22
2001ic,0.043,17.42,0.28,-1.72,0.66,0.13,0.11,36.20,0.21
2002bz,0.0378,16.89,0.09,-1.65,0.34,-0.09,0.04,36.22,0.18
2003ae,0.0338,17.25,0.20,-2.33,0.40,0.17,0.1,35.86,0.2
2003ai,0.0369,17.03,0.09,0.15,0.36,0.05,0.06,36.24,0.21
2003hu,0.0747,17.37,0.11,0.27,0.44,-0.27,0.06,37.38,0.17
2003k,0.0219,15.20,0.12,-1.74,0.40,-0.04,0.05,34.41,0.19
2004ap,0.0251,16.87,0.37,2.54,1.74,0.47,0.11,35.34,0.3
2005ew,0.0025,12.88,0.88,1.11,0.19,-0.14,0.02,32.68,0.89
2006ah,0.0509,18.11,0.10,-0.84,0.47,0.10,0.06,37.07,0.18
2006ak,0.0391,17.18,0.10,-1.58,0.24,0.05,0.05,36.17,0.17
2006b,0.0152,16.18,0.25,-1.57,0.44,0.40,0.11,34.31,0.24
2006bb,0.0258,16.10,0.12,-2.67,0.33,-0.11,0.06,35.35,0.19
2006bk,0.0065,17.02,0.34,0.16,0.12,0.31,0.03,35.59,0.37
2006cg,0.0289,16.40,0.12,-2.44,0.59,0.16,0.06,35.02,0.19
2006ef,0.017,15.31,0.16,-1.59,0.26,-0.05,0.04,34.56,0.21
2006eu,0.0229,15.82,0.12,-1.14,0.20,0.09,0.03,34.77,0.2
2006ev,0.0276,16.53,0.10,-1.20,0.22,-0.09,0.04,35.92,0.19
2006is,0.0314,15.88,0.10,2.33,0.34,-0.10,0.04,35.74,0.18
2006mq,0.004,10.51,0.56,-1.78,0.51,-0.12,0.04,29.91,0.61
2006or,0.0217,17.01,0.13,-1.55,0.41,0.41,0.06,35.12,0.21
2007ap,0.0163,15.20,0.15,-2.25,0.17,-0.10,0.04,34.48,0.21
2007ar,0.0533,17.90,0.23,-2.16,0.48,0.04,0.11,36.86,0.2
2007cg,0.0342,16.81,0.14,-0.71,0.36,0.02,0.07,35.99,0.17
2007h,0.0436,18.20,0.14,-0.22,0.27,0.36,0.06,36.60,0.18
2002ar,0.0312,\nodata,\nodata,\nodata,\nodata,0.128,6.0,f\\,
2004k,0.037,\nodata,\nodata,\nodata,\nodata,0.128,6.0,f\\,
2006ha,0.0294,\nodata,\nodata,\nodata,\nodata,0.128,6.0,f\\,
2006hn,0.0173,\nodata,\nodata,\nodata,\nodata,0.128,6.0,f\\,
2006nz,0.037,\nodata,\nodata,\nodata,\nodata,0.131,6.0,f\\,
2004ef,0.0298,16.88,0.07,-1.76,0.06,0.20,0.01,35.47,0.12
2004eo,0.0147,15.08,0.15,-1.52,0.06,0.15,0.01,33.84,0.18
2004ey,0.0147,14.72,0.15,-0.27,0.05,-0.02,0.01,34.06,0.18
2004gc,0.0321,16.81,0.08,-1.34,0.11,0.24,0.01,35.38,0.13
2004gs,0.0276,17.21,0.08,-2.41,0.11,0.31,0.01,35.48,0.13
2004gu,0.047,17.42,0.05,1.12,0.13,0.15,0.01,36.49,0.11
2005a,0.0183,18.25,0.12,-0.65,0.31,1.26,0.02,34.37,0.16
2005ag,0.08,18.41,0.03,0.03,0.09,0.02,0.01,37.69,0.1
2005al,0.0133,14.87,0.16,-1.36,0.07,0.01,0.01,33.99,0.19
2005am,0.009,13.67,0.24,-2.34,0.08,0.14,0.01,32.36,0.26
2005bg,0.0242,15.82,0.09,0.24,0.15,0.04,0.01,35.05,0.13
2005bo,0.015,15.67,0.15,-1.43,0.22,0.35,0.01,33.95,0.18
2005el,0.0149,14.81,0.15,-1.75,0.07,-0.05,0.01,34.03,0.18
2005eq,0.0284,16.24,0.08,1.11,0.09,0.06,0.01,35.55,0.13
2005hc,0.045,17.30,0.05,0.39,0.06,0.03,0.01,36.55,0.11
2005iq,0.0329,16.78,0.07,-1.33,0.10,-0.02,0.01,35.97,0.12
2005ir,0.0754,18.39,0.03,0.12,0.08,0.04,0.01,37.58,0.1
2005kc,0.0139,15.55,0.16,-0.84,0.07,0.29,0.01,34.03,0.19
2005ki,0.0204,15.55,0.11,-1.89,0.08,-0.01,0.01,34.66,0.15
2005m,0.023,15.88,0.10,0.76,0.06,0.06,0.01,35.13,0.14
2005na,0.0268,15.92,0.08,-0.75,0.08,-0.05,0.01,35.26,0.13
2005w,0.008,14.16,0.27,-0.75,0.09,0.24,0.01,32.79,0.29
2006ax,0.0179,14.98,0.12,-0.18,0.05,-0.03,0.01,34.35,0.16
2006bh,0.0106,14.37,0.21,-2.01,0.11,0.05,0.01,33.31,0.23
2006d,0.0096,14.18,0.23,-2.01,0.09,0.16,0.01,32.84,0.25
2006eq,0.0484,18.29,0.08,-2.49,0.18,0.25,0.04,36.69,0.12
2006py,0.0567,17.86,0.04,-0.07,0.25,0.08,0.01,36.96,0.11
2006x,0.0063,15.30,0.35,-0.17,0.04,1.45,0.01,31.03,0.36
2004dt,0.0188,15.09,0.12,-1.21,0.07,0.03,0.01,34.18,0.15
2005be,0.0356,16.86,0.08,-2.33,0.19,0.01,0.04,35.87,0.12
2005lu,0.0313,17.18,0.08,0.90,0.15,0.22,0.02,36.07,0.12
2005kt,0.0639,18.36,0.04,-1.22,0.25,0.08,0.02,37.32,0.12
2005lj,0.077,20.35,0.05,-0.25,0.41,0.52,0.04,38.33,0.14
10106,0.1463,20.94,0.04,-0.17,0.34,0.27,0.03,39.56,0.12
2005ez,0.1293,20.38,0.05,-3.00,0.26,0.17,0.04,38.92,0.13
2005lk,0.1027,19.16,0.04,-0.42,0.33,-0.03,0.03,38.49,0.12
2005ll,0.2425,20.97,0.05,0.40,0.93,0.08,0.04,40.13,0.15
2005lf,0.2984,22.02,0.11,1.12,1.08,0.16,0.06,41.06,0.22
2005ku,0.0437,17.55,0.06,-0.94,0.43,0.14,0.02,36.39,0.13
2005ml,0.113,19.11,0.03,1.19,0.43,0.00,0.02,38.55,0.12
2005jb,0.2565,21.53,0.06,-0.97,0.61,0.04,0.04,40.61,0.16
2005fc,0.2956,21.60,0.06,0.72,1.24,-0.06,0.04,41.14,0.22
2005mm,0.3804,22.18,0.08,-1.87,0.65,-0.16,0.08,41.66,0.22
2005ln,0.1457,20.30,0.03,-1.01,0.50,0.17,0.02,39.06,0.13
2005mo,0.2735,21.22,0.06,2.98,0.65,0.06,0.03,40.73,0.16
2005lo,0.2975,21.74,0.06,-1.85,1.56,0.02,0.05,40.77,0.21
2005lq,0.379,22.17,0.08,0.65,1.13,-0.01,0.06,41.58,0.2
1166,0.3804,22.05,0.08,1.20,1.01,0.09,0.06,41.27,0.2
2005lp,0.3018,22.33,0.08,2.50,1.51,0.18,0.06,41.49,0.25
2005mq,0.3483,22.01,0.07,0.62,1.39,0.03,0.07,41.31,0.22
2005ff,0.0857,19.12,0.04,-0.89,0.12,0.13,0.02,38.00,0.12
2005fd,0.2606,21.23,0.05,-1.27,0.39,-0.06,0.03,40.52,0.14
2005fe,0.2155,20.90,0.04,0.22,0.52,-0.03,0.03,40.30,0.14
2005fh,0.1176,19.07,0.03,0.59,0.13,-0.05,0.02,38.58,0.11
2005gj,0.1822,20.28,0.04,0.63,0.22,0.03,0.02,39.59,0.12
1688,0.3575,22.17,0.08,-0.04,1.12,0.05,0.06,41.33,0.2
2005fj,0.1418,20.06,0.03,0.97,0.34,0.08,0.02,39.27,0.12
2005fo,0.2605,21.29,0.05,1.12,0.39,-0.03,0.03,40.81,0.15
2005fl,0.2328,21.00,0.09,0.83,0.57,0.08,0.04,40.20,0.15
2005fm,0.1519,19.70,0.03,0.23,0.15,-0.06,0.02,39.16,0.11
2005fn,0.0939,18.64,0.04,0.80,0.26,-0.06,0.02,38.17,0.12
2005fr,0.2866,21.60,0.05,-0.05,0.48,-0.06,0.03,41.04,0.13
2005fy,0.1943,21.00,0.04,0.48,0.35,0.16,0.02,39.96,0.13
2005ey,0.147,19.58,0.03,0.46,0.14,-0.14,0.01,39.30,0.11
2005fp,0.2116,21.78,0.05,-2.04,0.51,0.11,0.04,40.56,0.16
2005ft,0.1801,20.57,0.03,-0.01,0.19,0.09,0.02,39.64,0.12
2005fi,0.2635,21.15,0.04,0.69,0.25,-0.09,0.02,40.77,0.13
2005fu,0.1921,20.65,0.03,0.06,0.26,-0.03,0.02,40.04,0.12
2005fs,0.3388,21.79,0.07,1.75,0.64,-0.00,0.04,41.31,0.17
2005fv,0.1173,19.80,0.03,-0.35,0.13,0.13,0.02,38.75,0.11
2005fw,0.1424,19.82,0.03,0.62,0.14,0.03,0.02,39.12,0.11
2005fa,0.1609,20.23,0.03,1.18,0.20,0.15,0.02,39.32,0.12
2005fx,0.2884,21.56,0.06,-1.26,0.50,-0.06,0.04,40.84,0.15
2005fz,0.1228,19.97,0.05,-1.19,0.26,0.13,0.04,38.80,0.12
2005go,0.2636,21.35,0.04,-0.04,0.36,0.04,0.03,40.55,0.14
2005gp,0.1265,20.04,0.03,-1.20,0.16,0.19,0.02,38.71,0.12
2005ga,0.1727,20.24,0.03,-0.12,0.18,0.01,0.02,39.50,0.11
2005gc,0.1638,20.25,0.03,0.22,0.18,0.06,0.02,39.39,0.11
2005gs,0.2495,21.57,0.04,1.44,0.35,0.11,0.03,40.78,0.13
2005gh,0.2577,21.00,0.05,0.37,0.36,-0.12,0.03,40.65,0.14
2005hn,0.1067,19.58,0.04,-0.88,0.22,0.05,0.03,38.64,0.12
2005gd,0.1599,20.33,0.03,-0.80,0.18,0.07,0.02,39.35,0.11
2005ge,0.205,21.10,0.04,-0.43,0.29,0.13,0.02,40.02,0.12
2005gr,0.2444,20.78,0.04,0.71,0.29,-0.01,0.02,40.20,0.12
2005gf,0.2485,20.94,0.04,0.16,0.29,-0.00,0.02,40.27,0.13
2005gg,0.2285,20.81,0.04,0.68,0.26,-0.03,0.02,40.25,0.12
2005gb,0.0859,18.75,0.03,-0.55,0.12,0.01,0.01,37.95,0.11
2005ho,0.0618,18.03,0.04,0.83,0.16,0.11,0.02,37.13,0.12
2005gt,0.2779,21.90,0.06,-1.49,0.49,0.07,0.05,40.84,0.17
2005gw,0.2754,21.52,0.05,0.53,0.47,0.05,0.03,40.74,0.14
4064,0.1552,20.35,0.03,-1.42,0.17,0.06,0.02,39.32,0.12
2005gu,0.3305,21.95,0.06,-0.18,0.55,0.00,0.04,41.23,0.16
2005gv,0.3619,22.10,0.07,0.12,0.63,0.01,0.04,41.38,0.17
2005gy,0.3306,22.10,0.07,0.65,0.46,0.17,0.04,41.05,0.15
2005gx,0.1446,20.38,0.03,-0.64,0.14,0.12,0.02,39.29,0.11
2005gq,0.3893,22.23,0.08,-0.25,0.79,-0.04,0.06,41.60,0.2
2005hp,0.1739,20.30,0.05,-0.93,0.30,-0.02,0.03,39.53,0.13
2005hs,0.3003,21.69,0.06,-0.20,0.42,0.05,0.04,40.85,0.15
2005hr,0.1163,19.46,0.03,0.92,0.18,0.04,0.01,38.75,0.11
2005hu,0.2186,21.17,0.03,-0.29,0.26,0.09,0.02,40.20,0.12
2005hx,0.1197,19.65,0.03,0.03,0.12,0.08,0.01,38.76,0.11
2005hy,0.1546,19.83,0.02,1.44,0.21,-0.02,0.01,39.32,0.11
2005hw,0.4083,22.47,0.09,-1.13,0.77,-0.09,0.07,41.84,0.21
2005hv,0.1776,20.90,0.04,-0.34,0.38,0.03,0.03,40.07,0.12
2005ia,0.2507,21.35,0.04,1.46,0.34,0.03,0.02,40.75,0.12
2005jz,0.2517,21.41,0.04,-0.49,0.28,0.04,0.02,40.54,0.12
5737,0.3916,22.33,0.08,1.42,1.05,0.12,0.06,41.51,0.17
2005hz,0.1287,20.13,0.02,0.47,0.12,0.25,0.01,38.86,0.11
2005hq,0.3996,22.19,0.10,-1.19,0.81,-0.15,0.09,41.73,0.21
2005ic,0.3095,21.57,0.05,-0.05,0.47,-0.06,0.03,41.02,0.13
2005is,0.1706,20.44,0.03,-0.84,0.24,0.07,0.02,39.47,0.12
2005ie,0.2789,21.46,0.05,-0.67,0.42,-0.04,0.03,40.77,0.13
2005it,0.3086,21.80,0.07,-0.78,0.94,0.04,0.05,40.91,0.18
2005ht,0.1858,20.46,0.04,0.49,0.27,-0.00,0.02,39.82,0.12
2005if,0.0664,18.66,0.04,-0.77,0.17,0.20,0.01,37.37,0.12
2005ka,0.3164,22.12,0.08,2.09,1.09,0.11,0.05,41.40,0.19
2005ih,0.2575,21.52,0.04,0.28,0.47,0.11,0.02,40.59,0.13
2005iv,0.2988,21.52,0.06,0.14,0.67,-0.08,0.03,41.03,0.15
2005jy,0.2704,21.69,0.04,-2.15,0.61,0.02,0.03,40.67,0.15
2005ig,0.2795,21.49,0.05,-2.05,0.47,0.02,0.03,40.50,0.14
2005ii,0.2925,21.78,0.04,0.51,0.61,0.09,0.03,40.92,0.14
2005jk,0.1889,20.95,0.03,-0.70,0.34,0.16,0.02,39.79,0.12
2005ix,0.2658,20.93,0.04,-0.35,0.35,-0.13,0.02,40.50,0.12
2005ij,0.1243,19.62,0.03,-0.13,0.15,0.08,0.01,38.72,0.11
2005id,0.1825,20.27,0.03,0.63,0.22,-0.06,0.01,39.78,0.11
2005jd,0.3129,21.58,0.05,0.45,0.56,-0.03,0.03,41.01,0.14
6696,0.2365,22.00,0.05,3.49,0.90,0.23,0.04,41.15,0.18
2005ik,0.3095,21.80,0.05,-1.09,0.74,-0.09,0.04,41.19,0.15
2005iu,0.089,18.67,0.04,-0.34,0.18,0.04,0.02,37.83,0.12
2005iy,0.4025,22.50,0.09,1.17,1.22,0.01,0.07,41.91,0.21
2005iz,0.2006,20.98,0.05,-2.26,0.39,0.05,0.03,39.85,0.13
2005ja,0.3264,21.63,0.05,0.34,0.69,-0.00,0.03,40.97,0.14
2005jc,0.2116,20.83,0.03,-0.23,0.22,0.05,0.02,39.98,0.12
2005jl,0.1797,20.55,0.03,-0.34,0.25,0.03,0.02,39.72,0.12
2005je,0.0931,19.16,0.03,-1.86,0.15,-0.02,0.02,38.28,0.11
6968,0.0969,19.57,0.04,3.45,0.39,0.07,0.03,39.13,0.13
2005jg,0.3024,22.06,0.04,-0.93,0.42,0.09,0.03,41.03,0.13
2005jh,0.1086,19.52,0.03,-1.73,0.20,-0.02,0.02,38.65,0.12
2005ed,0.0857,18.80,0.08,-0.70,0.24,0.01,0.04,37.99,0.12
2005jm,0.2026,20.77,0.04,0.30,0.38,0.05,0.03,39.97,0.13
2005kn,0.1967,21.27,0.04,-2.59,0.52,0.13,0.03,39.92,0.13
2005ei,0.1267,19.79,0.05,1.31,0.41,0.14,0.03,38.92,0.12
2005jx,0.2086,22.37,0.06,-0.48,0.99,-0.05,0.05,41.75,0.22
2005ji,0.2146,20.89,0.03,-0.54,0.26,-0.03,0.02,40.20,0.12
2005jn,0.3204,21.53,0.04,0.18,0.52,-0.10,0.03,41.10,0.13
2005jo,0.2183,21.11,0.04,0.22,0.27,0.09,0.02,40.22,0.12
2005eg,0.1897,20.65,0.03,0.83,0.27,0.04,0.02,39.94,0.12
2005ex,0.0929,19.06,0.05,0.17,0.22,0.09,0.03,38.15,0.12
2005jw,0.3797,21.93,0.05,1.34,0.54,-0.02,0.03,41.43,0.15
2005jp,0.2109,21.21,0.03,-0.10,0.34,0.21,0.02,39.98,0.12
2005jj,0.3666,22.25,0.09,-1.77,0.81,-0.22,0.06,41.86,0.2
2005jv,0.4209,22.52,0.07,0.37,0.93,-0.11,0.07,42.13,0.2
2005ju,0.258,21.60,0.04,0.09,0.38,0.11,0.03,40.64,0.14
2005ko,0.1836,21.11,0.04,-0.96,0.30,0.24,0.03,39.71,0.12
2005mi,0.2125,20.80,0.05,0.60,0.48,0.03,0.03,40.09,0.13
2005jt,0.36,22.41,0.07,-1.45,0.58,0.15,0.06,41.16,0.18
2005mh,0.394,22.22,0.06,0.60,0.43,-0.07,0.04,41.78,0.15
2005kp,0.1147,19.38,0.03,-0.45,0.19,-0.03,0.02,38.67,0.11
2005ld,0.1437,19.94,0.03,0.53,0.22,0.05,0.02,39.19,0.12
2005le,0.2525,21.35,0.06,0.75,0.55,0.09,0.04,40.52,0.15
2005kq,0.3873,22.23,0.08,-0.74,0.61,-0.19,0.06,41.89,0.19
2005lg,0.3486,22.07,0.08,1.04,0.76,0.08,0.05,41.30,0.18
2005li,0.2555,21.41,0.07,-0.91,0.53,0.05,0.05,40.49,0.15
2005lh,0.2166,21.06,0.06,-1.95,0.42,-0.10,0.05,40.36,0.15
2005ef,0.1068,19.36,0.10,-1.54,0.27,0.04,0.05,38.37,0.12
2005mp,0.2716,\nodata,\nodata,\nodata,\nodata,0.552,8.0,f\\,
2005iw,0.2785,\nodata,\nodata,\nodata,\nodata,0.552,8.0,f\\,
2005jf,0.3003,\nodata,\nodata,\nodata,\nodata,0.552,8.0,f\\,
1996e,0.43,22.63,0.15,-1.52,1.16,0.17,0.08,41.32,0.36
1996h,0.62,23.29,0.08,3.60,1.07,-0.08,0.08,43.23,0.39
1996i,0.57,23.39,0.07,-1.56,0.61,0.00,0.08,42.49,0.39
1996j,0.3,21.92,0.05,-2.33,0.35,-0.01,0.05,40.96,0.31
1996k,0.38,22.61,0.05,-1.44,0.32,-0.13,0.06,42.06,0.33
1996u,0.43,22.58,0.08,-0.83,1.09,-0.25,0.15,42.40,0.46
1995ao,0.24,21.64,0.15,3.09,1.85,0.23,0.15,40.74,0.4
1997ce,0.44,22.73,0.06,-1.62,0.30,-0.09,0.05,42.05,0.32
1997cj,0.5,23.12,0.07,-0.71,0.34,-0.01,0.04,42.36,0.32
1997ck,0.97,24.69,0.14,0.53,1.37,0.50,0.27,42.82,0.81
1995k,0.479,22.69,0.07,-0.23,0.64,-0.16,0.07,42.35,0.36
1996r,0.16,20.04,0.54,-2.42,1.14,-0.23,0.3,39.60,0.38
1995ap,0.3,\nodata,\nodata,\nodata,\nodata,0.552,9.0,f\\,
1996t,0.24,\nodata,\nodata,\nodata,\nodata,0.552,9.0,f\\,
1997ap,0.83,24.31,0.11,0.33,0.74,0.05,0.06,43.54,0.47
1997am,0.416,22.32,0.09,0.44,0.30,-0.31,0.19,42.42,0.56
1997aj,0.581,23.19,0.10,0.71,0.80,0.21,0.11,42.06,0.51
1997ai,0.45,22.87,0.08,-2.69,0.92,0.00,0.08,41.83,0.45
1997af,0.579,23.52,0.10,-1.09,0.49,-0.20,0.19,43.19,0.64
1997ac,0.32,21.82,0.05,0.51,0.30,-0.03,0.05,41.24,0.42
1997r,0.657,23.86,0.11,-0.09,0.74,0.07,0.18,42.98,0.66
1997q,0.43,22.56,0.08,-0.26,0.35,0.02,0.21,41.77,0.61
1997p,0.472,23.13,0.06,-0.63,0.48,0.15,0.13,41.97,0.51
1997o,0.374,23.35,0.24,1.42,0.84,-0.15,0.43,43.19,0.92
1997n,0.18,20.15,0.14,0.23,0.25,-0.29,0.13,40.19,0.45
1997l,0.55,23.59,0.10,2.13,1.09,-0.48,0.34,44.34,1.01
1997k,0.592,24.28,0.12,3.16,1.67,-0.08,0.2,44.15,0.72
1997i,0.172,20.43,0.12,0.23,0.15,0.19,0.1,39.30,0.43
1997h,0.526,23.18,0.06,-0.53,0.56,0.19,0.12,41.96,0.51
1997g,0.763,24.27,0.27,-0.86,1.40,-0.41,0.23,44.47,0.9
1997f,0.58,23.49,0.08,3.49,1.02,-0.04,0.11,43.31,0.52
1996cn,0.43,23.20,0.06,-0.21,0.75,0.27,0.1,41.80,0.46
1996cm,0.45,23.22,0.09,-0.24,0.81,0.09,0.17,42.27,0.59
1996ck,0.656,23.74,0.10,-1.15,1.21,-0.10,0.15,43.14,0.63
1996ci,0.495,22.82,0.05,-0.91,0.67,-0.05,0.06,42.12,0.44
1996cg,0.49,23.06,0.05,0.10,0.59,0.24,0.07,41.79,0.45
1996cf,0.57,23.27,0.06,0.29,0.72,-0.03,0.08,42.67,0.47
1995ba,0.388,22.49,0.08,-0.51,0.45,-0.20,0.1,42.21,0.47
1995az,0.45,22.60,0.10,-0.06,0.75,-0.21,0.14,42.40,0.51
1995ay,0.48,23.05,0.07,-1.51,0.72,0.00,0.14,42.16,0.52
1995ax,0.615,23.16,0.08,0.87,0.76,0.01,0.13,42.54,0.56
1995aw,0.4,22.20,0.08,2.54,0.77,-0.21,0.1,42.31,0.48
1995at,0.655,23.17,0.08,1.12,0.61,0.12,0.1,42.32,0.5
1995as,0.498,23.66,0.08,0.26,1.39,0.00,0.2,42.98,0.64
1995ar,0.465,23.41,0.08,0.42,0.72,0.38,0.19,41.83,0.6
1995aq,0.453,23.18,0.10,-0.98,0.81,-0.19,0.15,42.82,0.52
1994g,0.425,22.33,0.21,-1.18,1.60,0.11,0.15,41.20,0.49
1994an,0.378,22.59,0.08,-1.40,0.97,0.00,0.0,41.71,0.44
1994am,0.372,21.95,0.09,-1.12,0.60,0.00,0.0,41.11,0.43
1994al,0.42,22.86,0.06,-0.80,0.83,0.00,0.0,42.07,0.43
1994h,0.374,21.76,0.05,-0.20,0.52,0.00,0.0,41.03,0.42
1994f,0.354,22.52,0.11,-3.42,1.49,0.00,0.0,41.40,0.48
1997s,0.612,\nodata,\nodata,\nodata,\nodata,0.552,10.0,f\\,
1997j,0.619,\nodata,\nodata,\nodata,\nodata,0.552,10.0,f\\,
1996cl,0.828,\nodata,\nodata,\nodata,\nodata,0.552,10.0,f\\,
1992bi,0.458,\nodata,\nodata,\nodata,\nodata,0.552,10.0,f\\,
2002ad,0.514,22.78,0.26,1.68,1.10,-0.20,0.27,42.79,0.49
2002ab,0.423,22.62,0.07,-2.08,2.88,0.04,0.19,41.57,0.24
2002x,0.859,24.68,0.10,-1.09,0.82,-0.10,0.09,44.09,0.3
2001kd,0.936,24.82,0.17,-2.05,1.78,0.23,0.25,43.31,0.71
2001jp,0.528,23.03,0.11,-1.17,0.89,-0.11,0.09,42.45,0.24
2001jm,0.978,24.44,0.11,-0.54,0.78,0.07,0.1,43.50,0.29
2001jh,0.885,24.17,0.10,0.99,0.60,-0.24,0.1,44.18,0.29
2001jf,0.815,24.83,0.25,0.09,2.51,0.03,0.37,44.07,0.73
2001jb,0.698,24.39,0.14,-3.29,1.60,-0.20,0.14,43.77,0.43
2001iy,0.568,23.00,0.08,0.62,0.74,-0.14,0.09,42.71,0.29
2001ix,0.711,23.81,0.11,0.36,0.99,-0.17,0.15,43.57,0.37
2001iw,0.3396,22.03,0.10,-1.72,0.59,0.01,0.09,41.08,0.23
2001iv,0.3965,22.39,0.07,0.79,0.30,0.12,0.05,41.49,0.2
2001hy,0.812,24.86,0.11,-2.65,1.84,0.07,0.15,43.65,0.38
2001hx,0.799,24.69,0.08,1.87,1.14,0.34,0.08,43.38,0.23
2001hu,0.882,24.71,0.16,1.78,1.45,0.34,0.27,43.38,0.58
2001hs,0.833,24.22,0.11,1.50,1.05,0.00,0.21,43.69,0.52
2001fs,0.874,25.07,0.12,-0.39,1.29,0.42,0.15,43.30,0.39
2001fo,0.772,23.71,0.08,0.02,0.37,-0.20,0.04,43.51,0.22
2002aa,0.946,\nodata,\nodata,\nodata,\nodata,0.552,11.0,f\\,
2002w,1.031,\nodata,\nodata,\nodata,\nodata,0.552,11.0,f\\,
2002p,0.719,\nodata,\nodata,\nodata,\nodata,0.552,11.0,f\\,
2001jn,0.645,\nodata,\nodata,\nodata,\nodata,0.552,11.0,f\\,
1999dr,0.178,21.58,0.12,-1.86,0.45,0.49,0.09,39.45,0.24
1999du,0.26,21.31,0.04,1.29,0.33,-0.02,0.04,40.82,0.2
1999dv,0.186,20.78,0.03,-0.77,0.19,0.11,0.02,39.71,0.19
1999dx,0.269,21.80,0.05,-1.51,0.51,0.06,0.07,40.78,0.26
1999dy,0.215,20.94,0.03,0.74,0.26,-0.02,0.03,40.38,0.19
2000fr,0.543,23.03,0.06,0.69,0.25,-0.03,0.03,42.48,0.1
1998bi,0.75,23.86,0.08,-0.09,0.37,-0.04,0.04,43.24,0.14
1998be,0.64,23.83,0.07,-2.27,0.39,0.03,0.06,42.76,0.19
1998ba,0.43,22.87,0.05,-0.70,0.33,-0.04,0.05,42.18,0.15
1998ay,0.64,23.65,0.07,0.23,0.47,-0.08,0.06,43.16,0.19
1998ax,0.497,23.10,0.07,1.05,0.42,0.08,0.05,42.32,0.17
1998aw,0.44,23.19,0.05,0.53,0.29,0.22,0.04,42.01,0.11
1998as,0.355,22.66,0.06,-1.55,0.50,0.17,0.08,41.34,0.2
1997ez,0.78,24.23,0.08,0.94,0.51,0.02,0.05,43.60,0.17
1997eq,0.54,23.15,0.05,-0.57,0.32,-0.02,0.03,42.42,0.11
1997ek,0.86,24.47,0.09,0.03,0.53,-0.06,0.05,43.92,0.17
03D4bc,0.572,24.53,0.09,-2.14,0.66,-0.09,0.08,43.80,0.23
03D4au,0.468,23.81,0.05,0.47,0.37,0.25,0.04,42.55,0.16
04D4bk,0.84,24.32,0.08,0.76,0.49,-0.07,0.07,43.87,0.22
04D3nr,0.96,24.56,0.11,0.68,0.49,0.13,0.08,43.61,0.28
04D3lu,0.8218,24.34,0.08,-0.36,0.29,-0.08,0.06,43.82,0.21
04D3ki,0.93,24.69,0.10,-1.03,0.33,0.12,0.09,43.55,0.29
04D3gt,0.451,23.22,0.05,-0.19,0.15,0.28,0.02,41.80,0.14
04D3do,0.61,23.55,0.06,-1.15,0.19,-0.07,0.03,42.90,0.16
04D3cp,0.83,24.11,0.08,0.84,0.33,-0.21,0.06,44.05,0.21
04D2gp,0.707,24.13,0.08,-1.95,0.54,-0.04,0.08,43.28,0.26
