SNIa_uni,z_uni,m_b_uni,m_b_err_uni,s_uni,s_err_uni,c_uni,c_err_uni,mu_uni,mu_err_uni
2002kc,0.216,22.43,0.20,1.09,1.04,0.53,0.1,40.56,0.24
2002kd,0.735,24.08,0.09,-0.26,0.35,0.10,0.05,43.09,0.2
2002ki,1.14,25.37,0.12,-0.11,0.42,0.18,0.11,44.20,0.37
2003aj,1.307,26.33,0.17,-0.88,0.69,0.04,0.09,45.41,0.31
2003az,1.265,25.75,0.12,0.22,0.52,0.05,0.04,44.94,0.24
2003bd,0.67,24.26,0.17,-1.20,0.38,0.11,0.09,43.14,0.21
2003be,0.64,24.27,0.21,-0.95,0.96,0.21,0.12,42.92,0.28
2003dy,1.34,25.73,0.13,1.55,0.71,0.06,0.05,45.07,0.28
2003eb,0.9,24.09,0.09,-0.06,0.26,0.13,0.03,43.06,0.21
2003eq,0.84,24.34,0.08,-0.01,0.41,0.05,0.03,43.51,0.21
2003XX,0.935,24.48,0.10,-0.47,0.32,0.07,0.05,43.54,0.23
04Haw,0.49,23.02,0.30,-0.04,0.85,0.07,0.22,42.15,0.27
04Tha,0.954,24.61,0.12,-0.50,0.57,-0.11,0.07,44.11,0.23
05Koe,1.23,25.19,0.22,-0.15,0.69,-0.19,0.08,44.94,0.27
2003es,0.954,24.60,0.11,-1.05,0.61,-0.20,0.06,44.26,0.26
2002fx,1.4,\nodata,\nodata,\nodata,\nodata,\nodata,0.552,f\\,
04Kur,0.359,\nodata,\nodata,\nodata,\nodata,0.552,17.0,f\\,
05Dic,0.638,\nodata,\nodata,\nodata,\nodata,0.552,17.0,f\\,
2003ak,1.551,\nodata,\nodata,\nodata,\nodata,0.552,17.0,f\\,
2001cw,0.953,24.71,0.15,0.14,0.85,-0.10,0.36,44.27,0.95
2001gn,1.124,25.37,0.11,0.65,0.65,0.07,0.05,44.57,0.2
2001go,0.552,23.08,0.09,-1.15,0.26,-0.11,0.07,42.51,0.1
2001gq,0.671,23.79,0.07,0.46,0.29,0.06,0.04,42.98,0.12
2001gy,0.511,23.05,0.06,-0.31,0.27,-0.03,0.03,42.37,0.09
2001hb,1.03,24.79,0.10,1.30,0.41,0.00,0.04,44.24,0.14
A-004,1.192,25.50,0.12,-1.45,0.68,0.06,0.08,44.46,0.2
C-000,1.092,25.67,0.12,-2.66,0.65,0.26,0.08,44.01,0.25
C-001,0.974,24.61,0.09,-0.35,0.33,0.01,0.05,43.83,0.17
