,,SN,F_b,F_b_err,F_r,F_r_err,pEW,pEW_err,d_pEW,d_pEW_err,v,v_err,a,a_err,FWHM,FWHM_err
SN,2007N,0.44,4.1,0.05,3.99,0.05,38.4,3.2,-39.8,13.8,8.18,0.11,0.183,0.003,177.0,1.2
SN,2007O,-0.33,16.46,0.2,13.23,0.13,68.4,5.8,-9.9,14.6,8.66,0.11,0.313,0.006999999999999999,263.0,1.2
SN,2007S,5.18,2.15,0.01,2.15,0.04,59.8,3.6,-9.3,13.9,8.94,0.11,0.29600000000000004,0.004,248.6,2.4
SN,2007af,-1.25,23.55,0.14,19.77,0.1,84.1,5.0,6.3,14.4,8.85,0.11,0.38799999999999996,0.006,121.3,2.4
SN,2007af,2.84,25.11,0.1,21.44,0.08,87.5,7.4,12.0,15.3,7.73,0.11,0.425,0.006,145.0,1.2
SN,2007af,3.81,24.45,0.14,20.66,0.13,89.0,5.2,15.7,14.4,7.75,0.11,0.431,0.005,151.2,2.4
SN,2007ap,9.37,36.23,0.34,25.44,0.22,40.4,3.6,-8.4,13.9,7.59,0.11,0.257,0.004,180.0,1.2
SN,2007ba,2.14,0.57,0.02,0.49,0.02,70.4,4.4,-6.4,14.1,6.87,0.11,0.37200000000000005,0.008,238.8,2.4
SN,2007ba,5.18,4.39,0.07,3.85,0.08,35.0,3.2,-34.2,13.8,6.31,0.11,0.21899999999999997,0.006,180.0,1.2
SN,2007bc,0.61,2.08,0.02,1.58,0.01,86.0,5.2,7.8,14.4,8.4,0.11,0.397,0.006999999999999999,260.6,2.4
SN,2007bd,-5.79,0.61,0.02,0.48,0.02,67.7,4.3,0.2,14.1,11.82,0.11,0.318,0.021,147.4,2.4
SN,2007bm,-7.79,6.32,0.07,5.38,0.06,74.5,4.1,16.0,14.1,9.93,0.11,0.326,0.006999999999999999,264.4,2.4
SN,2007bz,1.65,1.31,0.03,1.16,0.03,69.5,4.1,-7.8,14.1,10.19,0.11,0.282,0.006,262.3,2.4
SN,2007ci,-6.57,1.2,0.02,0.95,0.02,63.1,4.0,-1.2,14.0,10.64,0.11,0.312,0.012,139.5,2.4
SN,2007ci,-1.71,1.75,0.02,1.39,0.02,73.8,4.4,-3.6,14.2,9.77,0.11,0.35,0.005,263.2,2.4
SN,2007co,-4.09,0.74,0.01,0.67,0.01,77.4,4.6,4.4,14.2,10.32,0.11,0.35200000000000004,0.004,266.8,2.4
SN,2007co,0.85,0.95,0.01,0.84,0.01,95.1,5.3,17.0,14.5,9.13,0.11,0.38299999999999995,0.005,280.4,2.4
SN,2007cq,7.84,1.93,0.04,1.57,0.02,47.7,3.0,-9.9,13.8,8.93,0.11,0.29,0.008,171.6,2.4
SN,2007fb,1.95,2.93,0.03,2.75,0.03,79.5,4.8,2.6,14.3,8.77,0.11,0.384,0.005,115.9,2.4
SN,2007fr,-1.25,0.2,0.01,0.15,0.01,69.4,4.4,-8.5,14.1,8.57,0.11,0.384,0.013999999999999999,123.7,2.3
SN,2007fs,5.03,4.09,0.05,3.22,0.03,75.8,4.6,6.0,14.2,8.1,0.11,0.373,0.003,257.6,2.4
SN,2007gi,6.61,19.42,0.11,15.34,0.03,47.0,2.7,-16.6,13.7,10.51,0.11,0.20199999999999999,0.004,258.8,2.4
SN,2007gk,-1.72,0.84,0.01,0.8,0.01,83.4,4.9,6.0,14.3,10.11,0.11,0.38,0.003,268.8,2.4
SN,2007hj,-1.23,2.34,0.02,1.83,0.01,86.3,5.1,8.4,14.4,8.59,0.11,0.413,0.004,266.2,2.4
SN,2007kk,7.15,2.57,0.03,1.95,0.03,40.2,2.4,-20.9,13.7,9.5,0.11,0.171,0.011000000000000001,265.1,2.4
SN,2007le,-10.31,5.17,0.05,4.01,0.06,65.6,4.0,22.1,14.0,13.28,0.11,0.331,0.006,246.3,2.4
SN,2007le,-9.4,5.91,0.03,4.94,0.04,60.6,3.7,11.2,13.9,12.95,0.11,0.297,0.005,252.3,2.4
SN,2007le,7.43,16.01,0.08,12.17,0.04,52.9,3.0,-6.8,13.8,10.09,0.11,0.21100000000000002,0.004,284.1,2.4
SN,2007s1,-1.23,0.97,0.02,0.9,0.01,91.1,5.3,13.2,14.5,10.01,0.11,0.39399999999999996,0.006,270.6,2.4
SN,2007on,-3.01,21.94,0.05,18.56,0.1,59.9,3.6,-15.5,13.9,9.04,0.11,0.307,0.005,258.3,2.4
SN,2007on,-3.0,18.57,0.05,15.58,0.06,54.2,4.7,-21.2,14.3,8.77,0.11,0.28800000000000003,0.004,115.0,1.2
SN,2007qe,6.23,2.35,0.04,1.72,0.02,73.9,4.3,8.7,14.1,9.87,0.11,0.293,0.008,261.7,2.4
SN,2008Q,6.46,16.52,0.16,14.94,0.09,62.1,3.7,-2.1,13.9,9.03,0.11,0.313,0.004,144.9,2.4
SN,2008Z,-2.29,1.83,0.03,1.75,0.01,43.9,2.7,-32.7,13.7,10.83,0.11,0.20600000000000002,0.004,96.0,2.4
SN,2008ar,2.83,1.29,0.05,0.73,0.02,108.9,6.3,33.4,14.8,8.05,0.11,0.42700000000000005,0.012,272.9,2.4
SN,2008s1,-6.36,1.04,0.03,0.84,0.01,47.8,3.2,-17.3,13.8,10.83,0.11,0.305,0.006999999999999999,92.0,2.4
SN,2008s1,-3.42,1.32,0.04,1.09,0.02,53.0,3.4,-21.6,13.9,10.4,0.11,0.273,0.008,103.7,2.4
SN,2008s1,0.49,1.62,0.06,1.38,0.03,74.4,4.7,-3.8,14.2,8.9,0.11,0.38,0.006999999999999999,105.7,2.4
SN,2008s1,4.4,1.72,0.03,1.36,0.01,83.9,4.9,12.2,14.3,8.46,0.11,0.39,0.006999999999999999,260.2,2.4
SN,2008s1,5.38,1.62,0.02,1.35,0.01,76.2,4.5,7.8,14.2,8.56,0.11,0.395,0.004,125.2,2.4
SN,2008cl,4.24,0.11,0.01,0.09,0.01,97.8,6.2,25.6,14.8,9.91,0.11,0.46799999999999997,0.013999999999999999,252.0,2.3
SN,2008dx,2.46,0.36,0.02,0.34,0.01,51.4,3.2,-24.8,13.8,7.02,0.11,0.28,0.006999999999999999,250.2,2.4
SN,2008ec,-0.24,2.55,0.03,2.22,0.01,74.3,4.5,-4.0,14.2,8.48,0.11,0.382,0.004,106.3,2.4
SN,2008ec,5.7,2.82,0.03,2.44,0.01,81.0,4.8,13.7,14.3,7.62,0.11,0.414,0.006,118.1,2.4
SN,2008ei,3.29,0.39,0.01,0.34,0.01,81.7,4.6,7.1,14.2,10.2,0.11,0.322,0.006,287.2,2.4
SN,2008s5,1.26,1.56,0.07,1.3,0.01,57.2,3.4,-20.6,13.9,7.98,0.11,0.266,0.008,118.3,2.4
SN,2008s5,8.96,1.16,0.02,0.9,0.01,62.9,3.8,11.6,14.0,7.54,0.11,0.32899999999999996,0.004,106.7,2.4
SN,2008hs,-7.94,0.66,0.02,0.54,0.01,49.4,3.0,-8.4,13.8,9.88,0.11,0.24,0.005,261.5,2.4
